URL,ID,Normal,Splinter,Fungal,Hands,Other
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18b.png,25,85,10,10,5,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18c.png,26,100,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18d.png,27,100,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_18e.png,28,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19a.png,29,90,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19b.png,30,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19c.png,31,100,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19d.png,32,95,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_19e.png,33,100,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2a.png,34,60,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2b.png,35,70,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2d.png,36,60,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2d.png,37,60,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20a.jpg,38,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20b.jpg,39,85,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20c.jpg,40,100,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20d.jpg,41,80,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_3a.png,42,75,15,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_3b.png,43,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_3c.png,44,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4a.png,45,70,15,15,0,5
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4b.png,46,90,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4c.png,47,80,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4d.png,48,70,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_5a.jpg,49,75,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_5b.jpg,50,90,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_5c.jpg,51,80,0,0,5,5
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6a.png,52,55,20,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6b.png,53,75,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6c.png,54,70,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6d.png,55,100,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7a.png,56,95,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7b.png,57,85,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7c.png,58,85,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7d.png,59,95,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8a.png,60,75,10,10,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8b.png,61,70,20,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8c.png,62,75,15,15,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8d.png,63,65,20,20,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9a.png,64,85,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9b.png,65,90,0,0,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9c.png,66,80,5,5,0,0
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9d.png,67,100,0,0,0,0
