URL,ID,Normal,Splinter,Fungal,Other
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2b.png,35,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2d.png,36,60,65,65,65
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_2d.png,37,60,65,65,65
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20a.jpg,38,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20b.jpg,39,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20c.jpg,40,100,105,105,105
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_20d.jpg,41,80,85,85,85
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_3a.png,42,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_3b.png,43,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_3c.png,44,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4a.png,45,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4b.png,46,90,95,95,95
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4c.png,47,80,85,85,85
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_4d.png,48,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_5a.jpg,49,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_5b.jpg,50,90,95,95,95
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_5c.jpg,51,80,85,85,85
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6a.png,52,55,60,60,60
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6b.png,53,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6c.png,54,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_6d.png,55,100,105,105,105
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7a.png,56,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7b.png,57,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7c.png,58,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_7d.png,59,95,100,100,100
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8a.png,60,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8b.png,61,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8c.png,62,75,80,80,80
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_8d.png,63,65,70,70,70
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9a.png,64,85,90,90,90
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9b.png,65,90,95,95,95
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9c.png,66,80,85,85,85
https://ecraft2learn.github.io/ai/onyx/images/normal/Fingernail healthy Image_9d.png,67,100,105,105,105
