true-predicted	TRUE	predicted	message	source	correct	true 2nd	predicted 2nd
C&I-C&I	C&I	C&I	Yes	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Dorothy did an ear washout and dry mopping this morning. She performed very well.	logistics	TRUE	SE	none
SE-SE	SE	SE	Dorothy please prompt VHTs to use this group and create home lists.	logistics	TRUE	QA	none
C&I-QA	C&I	QA	New bit of information from Simon and Teresa. If a patient has a lot of wax but no symptoms -- no treatment needed If a patient has a lot of wax but has symptoms e.g. ringing in ears or pain then they need Olive oil drops 3 times a day for 5 days then washout and dry mopping	logistics	FALSE	none	none
C&I-C&I	C&I	C&I	Ok	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Next week schedule as follows: Monday 10am - Luke we will meet and see the lady who needs washout and the young boy who will need a referral. 2pm - Gordon and Oliver to do observed home visits. 1 home each where we will observe you taking a history, performing otoscopy and doing whispered hearing test. Tuesday 1pm. Harriet and Isabella we will meet you at makata primary to do the ear washouts. 2pm - Karl and Jane. We will meet you at Makata Primary School  to do your home visits. Wednesday 2pm - Nora and Patricia we will meet you at Seeta Nazigo HC III to do your home visits. Thursday 2pm - Francesca and Matthew we will meet you at omnimed Makata to do your home visits. For all home visits bring you books, charged otoscopes and phones. Have a nice weekend.	logistics	TRUE	SE	none
QA-C&I	QA	C&I	I am just encouraging you to continue doing your good work, our bosses have been appreciating our work. I also encourage you not to delete the messages we are being sent. Like that one about Teresa. It can help you in the field. You can refer to the messages and know what to do. Lets also keep up writing down the households we have. The people in the houses. That way you will know the people in the house.	logistics	FALSE	SE	QA
C&I-C&I	C&I	C&I	Another thing - some of the VHTs have a problem differentiating the WhatsApp groups we have. If you have anything to share with all your VHTs put it in the SN/Makata group so that everyone will get your message. If you go in the field and have any challenge you can share the question. That way we will respond to you.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	And if you have a fellow VHT that you have worked with, you can just go into the contacts and look for the VHT. Then send a private message.	logistics	TRUE	none	none
SE-SE	SE	SE	Thank you Dorothy	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Ok Sir	logistics	TRUE	none	none
SE-SE	SE	SE	I assure you my friends were  missing things that were going around the world. Now I really appreciate Dr. Andrew	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Harriet you said you are going on home visits, but how are going to do it? Should I join you?	logistics	TRUE	none	none
SE-SE	SE	SE	Doctor Andrew  thank you for what you are doing. People in my community have appreciated everything, thank you so much.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Isabella can you join me for home visiting during the day?	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Harriet I won't be in position to make it because I have a church meeting	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Thank you too Harriet for trying to go on a home visit. Its a nice idea actually to go in pairs and observe each other. It maybe also might thinks more interesting	logistics	TRUE	SE	SE
C&I-C&I	C&I	C&I	I were telling my colleagues to organise and start supervision for our homestead as we were doing before.	logistics	TRUE	none	none
SE-SE	SE	SE	Thank you Edward for arranging this and for your leadership ssebo. Have a nice weekend	logistics	TRUE	SE	none
SE-SE	SE	SE	My VHTs keep up the hard work  let us be sharing ideas and encouraging each other.	logistics	TRUE	none	none
SE-SE	SE	SE	Thank you Nora	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Great. That is a brilliant idea Nora. this group is ideal for sharing such message of encouragement and ideas about how we can improve things. I know the kavuule and kirujja butoke group are going in pairs on their visits and also that they are making house hold lists and checking them off.	logistics	TRUE	QA	none
SE-SE	SE	SE	Thank you Doctor.	logistics	TRUE	none	none
C&I-SE	C&I	SE	I agree with what you said in the group. We should use this to work closer with each other and learn from each other.	logistics	FALSE	none	none
C&I-C&I	C&I	C&I	When will you accompany me and Harriet on our home visits?	logistics	TRUE	none	none
SE-SE	SE	SE	Thanks  for the work you are doing. Thanks for the home visits. I hope they went on well. I pray for you to do well in the questions.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Let it be Wednesday coz most pipo meet at the Health center at 2:00pm. Thanks.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Jane can you let me know if you have any problem in being offline because we need you to keep following as well	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Yes. Jane needs to go to mukono to the airtel\mtn store to get a new SIM card for her number. Hers is not working. A new sim card is in the region of 2000-4000 shillings. She should use part of the 20,000 I gave her to do this. It is important she is online so she can be kept up to date and so we can help her. Can someone urge her to do this? Also Qiana are you OK? We haven't heard from you	logistics	TRUE	SE	none
SE-C&I	SE	C&I	I will try tomorrow to see her physically and talk to her about that issue. Thanks.	logistics	FALSE	none	none
SE-C&I	SE	C&I	Greetings all my friends thanks for all of todays work. Welcome back. I have sent you these pictures to see so that you can remember. I know it will help you. For those who have not yet gone to ear washout.	logistics	FALSE	SE	none
SE-SE	SE	SE	I wish you all a good Sunday. Good night.	logistics	TRUE	none	none
SE-SE	SE	SE	Thank you Edward. We appreciate your supervision and assistance.	logistics	TRUE	SE	none
SE-SE	SE	SE	Dorothy, I am so happy for what you have given us. Thanks very much for sharing that video. We have been waiting for it. We are so grateful that you have shared this.	logistics	TRUE	none	none
SE-SE	SE	SE	I am saying Catherine thanks for the work you have done. Showing us these photos. We had forgotten. Thanks you. These videos will help us on our home visit. God bless you. Have a nice weekend. May god grant you.	logistics	TRUE	SE	none
SE-SE	SE	SE	Thank you Dorothy !!!	logistics	TRUE	none	none
SE-SE	SE	SE	Thanks Luke and also Catherine for the good work. I am now on WhatsApp just I have been sick these days.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	I have seen all the message though	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Tomorrow (Monday) Luke we will meet at Seeta Nazigo to see the little boy at 10am. Gordon and Oliver meet at seeta nazigo at 2pm to do home visits.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Gordon please go to someone who has pain the ear.	logistics	TRUE	SE	none
SE-SE	SE	SE	Well done team	logistics	TRUE	none	none
C&I-QA	C&I	QA	Matthew remember about meeting on Thursday at 2pm at the Organisation in Makata and  please keep time.	logistics	FALSE	SE	C&I
C&I-C&I	C&I	C&I	Please keep this group for work purposes and sending helpful photos only. Thanks.	logistics	TRUE	none	none
SE-SE	SE	SE	Also Oliver is everything OK? We have not heard from you.	logistics	TRUE	none	none
QA-C&I	QA	C&I	We have collected forms at the health center from Dorothy; Edward ; Luke. Well done to these 3 VHTs. This is excellent. Please all other VHTs drop your forms in the box at the health center each Monday . The pink form goes in the box ; the blue one goes to the patient. And you keep the white form in your book	logistics	FALSE	SE	none
SE-SE	SE	SE	My phone is on. Just that I feel pain in my jaw. Thanks so much Dorothy and Edward for giving us the information about this report. I have seen it.	logistics	TRUE	C&I	none
C&I-SE	C&I	SE	Good morning. We will start the cases today . We also have not heard from Karl , Qiana or Jane. Please could you guys remember to contribute to this group	logistics	FALSE	SE	none
C&I-C&I	C&I	C&I	I didn't manage to see Jane as I promised but I hope to see her today at the burial ceremony at Seeta Nazigo at 2:00pm. I shall tell her what to do.	logistics	TRUE	C&I	none
QA-QA	QA	QA	Try to remind our colleagues to bring their forms  at the Health centre as we were told. Thanks.	logistics	TRUE	SE	none
C&I-QA	C&I	QA	Dorothy. The lady you referred called Ursula. I agree she has a bad right ear. However the history said the hearing from whispered voice test was normal. In the right ear it was not. She is unable to hear. This lady had a very poor right ear and will need referring to a specialist at mulago.	logistics	FALSE	QA	C&I
C&I-C&I	C&I	C&I	I will liaise with you about whether she should go to old or new mulago on Monday morning. She is aware she needs to attend.	logistics	TRUE	none	none
QA-QA	QA	QA	Remember!! Both of these consent forms MUST be filled out by the head of the house hold when you first visit them. Without them you cannot see the family and will endanger the project.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We are here at the HC with Andrew	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Thank you. We will start Gordon and Oliver's home visits in 5 minutes.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Learning how to use WhatsApp.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	If you aren't sure how to use messages on WhatsApp please inform your supervisor , Dorothy. Matthew, Gordon, Oliver  Francesca and Harriet you have been too quiet. You need to engage in the group so we know you are doing work and don't have any problems.	logistics	TRUE	QA	none
QA-QA	QA	QA	Edward the patient Veronica who you referred has got ear wax in both ears. I have given her the olive oil drops and she needs to have a washout and dry mopping in 4 days (Friday). If she comes to seeta nazigo on Friday can you do this at 2pm?	logistics	TRUE	C&I	C&I
QA-C&I	QA	C&I	Thanks Dr Andrew I will be there and do it.	logistics	FALSE	SE	SE
C&I-C&I	C&I	C&I	Oliver is doing his home visit now .	logistics	TRUE	none	SE
SE-SE	SE	SE	Thanks Edward.	logistics	TRUE	none	none
QA-QA	QA	QA	Greetings all members of SN. Dr. Andrew said that it is not good to send patients without reviewing them or without letting him know because today we were supposed to work on 2 but we found 6.	logistics	TRUE	SE	none
QA-C&I	QA	C&I	The 2 patients they have been referred to Mulago.	logistics	FALSE	none	none
C&I-C&I	C&I	C&I	Harriet could you escort me I have a patient at around 4pm. How is that.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Friday I will go with Oliver to do a repeat washout of the lady we treated today and to see the girl with the discharging ear at 1pm.	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Isabella go on to WhatsApp right now.	logistics	TRUE	none	none
SE-SE	SE	SE	Karl and Qiana .. Is everything OK? We have not heard from you both...	logistics	TRUE	none	none
SE-SE	SE	SE	Well done Oliver and Gordon today. You both did well. Gordon that was excellent work to identify the otitis media and treat appropriately. Follow her up in 1 week and if she isn't getting better after 4 weeks she will need to go to mulago.	logistics	TRUE	QA	none
SE-C&I	SE	C&I	Have are you members. Am on air.	logistics	FALSE	none	SE
C&I-C&I	C&I	C&I	Also Gordon we need to supply you with consent forms and treatment kits. We can give you this tomorrow.	logistics	TRUE	none	none
SE-SE	SE	SE	Well done VHTs	logistics	TRUE	none	none
SE-SE	SE	SE	Thank you all for the work u have done including Andrew, Catherine, Bryan, Oliver and Gordon	logistics	TRUE	none	none
C&I-SE	C&I	SE	Today I worked in Makata with Gordon and Dr. Andrew, Bryan and Catherine. The work has gone on well. Gordon has done well. We are still going on.	logistics	FALSE	SE	none
SE-SE	SE	SE	Thank you Matthew. Thank you Gordon. Keep up the good work.	logistics	TRUE	SE	none
SE-SE	SE	SE	You are welcome, thanks your work was really impressive, we want others to be like you.	logistics	TRUE	none	none
QA-QA	QA	QA	Luke. Your patient (1 year old boy) who is going to mulago on Monday need to go to old mulago ent clinic in the morning. Please make that clear to them.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Jane has come. She is at the health centre and she needs help on her WhatsApp.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We saw Jane at 2pm. She seemed able to use the WhatsApp.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Did you see the questions?	logistics	TRUE	none	QA
C&I-C&I	C&I	C&I	Reply to them so we see where we stand.	logistics	TRUE	none	none
SE-SE	SE	SE	Please friends lets try and reply to the questions.	logistics	TRUE	none	C&I
SE-SE	SE	SE	Thank you for encouraging them Edward.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Good morning, today at 1pm Harriet and Isabella we are going to meet at Makarta Primary School to do an ear washout.	logistics	TRUE	SE	none
QA-SE	QA	SE	There are people who are so silent and we are not hearing from them at all for example in the other Case group that we are all meant to participate, VHTs like Patricia, Qiana. Partake like us all please.	logistics	FALSE	C&I	none
C&I-C&I	C&I	C&I	Jane I know you are in class now. Tell Qiana to enter also we want her to be part of us and participate. Thanks.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We are at Makata Primary ready to go on home visits. Karl is here. We are waiting for you	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Karl performing a whisper hearing test. Well done Karl. He has found a lady with hearing loss.	logistics	TRUE	SE	SE
C&I-C&I	C&I	C&I	We will reply to the questions	logistics	TRUE	none	none
SE-C&I	SE	C&I	Sorry for not replying to the questions. I had no power on my phone and the power bank was dead.	logistics	FALSE	C&I	none
C&I-C&I	C&I	C&I	Luke does not agree with Francesca's excuse, he's trying to blame her.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Wait for the photo.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	This is Luke, my reply to the question is doing the ear washout then dry mopping then re-examine again to see if it is clean now. I also continue to follow up.	logistics	TRUE	none	none
QA-QA	QA	QA	Isabella and Harriet got a new patient called Wlma and she has puss in her right ear, I think we need to look at her also tomorrow.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	OK. Thanks. I can come see these patients at 11am tomorrow.	logistics	TRUE	C&I	none
QA-QA	QA	QA	Some important messages. This is really important so if you are mentioned make sure you take action as we will be following this up. If you have seen a patient and identified a problem you must give them treatment and follow up to see if it has worked. If it has not worked you must refer them and make sure we know about it. 1. Dorothy. A. You saw patient called Xander, 30 years old, male on 6th February. They had right sided ear wax. You said you gave olive oil and they needed a washout on Saturday. Please confirm when you have done this and the outcome. B. You referred a 53 year old lady who came to see you who had been using antibiotic drops in her right ear. She was seen by us at Seeta nazigo yesterday. She has some hearing loss and some wax in the ear. She needs to be followed up on Friday and assessed to see if she needs a referral to mulago. 2. Luke. A. You saw a 1 year old boy. He has a left ear drum perforation. We washout and dried. We gave antibiotic ear drops. Dr. Zanetta will see him Monday morning at mulago old hospital ent outpatient clinic. Please make sure mum takes him and report back to us the outcome. B. You saw a 5 year old girl with her grandmother yesterday. She needs a follow up on Friday morning with us to see if the antibiotics are making things better. If not she needs a referral to mulago. C. You saw a 69 year old lady on 6th February. Her image has been reviewed by Dr. Arthur. He said it is just wax and itching should settle down over time. Please reassure her. 3. Gordon. A. You saw the 21 year old girl yesterday with the perforation of the ear drum. We need to follow her up Monday afternoon. All other VHTs keep up your good work.	logistics	TRUE	QA	none
QA-QA	QA	QA	We are mapping out all of the patients who need review so that no one is forgotten or slips through the net.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	We are going at 10.10am to assess Karl's patient. At 11am we will go assess the two patients who Harriet and Isabella saw yesterday.	logistics	TRUE	none	none
QA-QA	QA	QA	Karl I have arranged an audiological review for your two patients. I will send you details of the appointment . it will be in Kampala and they will have to cover their own transport there however I will pay for their assessment so this will be free. After the assessment has been done they will assess for suitability for a hearing aide	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Luke did you get any message from Gordon. He is saying his phone has a problem. It is like the messages are not coming. Since morning he's not got a message.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Gordon - his messages are not in the group. Let him go to the group which has a profile picture of VHTs. Now here  you are using this big group. You need to use an alternative group. I have told him to use that other group. Any problems just let me know. I can help others. If there are problems tell him to come to me and I will help him.	logistics	TRUE	C&I	none
SE-C&I	SE	C&I	Francesca - tell Gordon to switch off his phone, for 2 minutes. Then let him switch it on again. It will work again.	logistics	FALSE	none	SE
QA-SE	QA	SE	Jane we have not seen you on the VHT case group, go and reply to the questions.	logistics	FALSE	none	C&I
C&I-C&I	C&I	C&I	Gordon  thinks his phone has a fault since he hasn't received any messages since morning.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Ok. I will see Gordon at 2pm tomorrow and try fix it.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Tell him to make sure it is not on aeroplane mode.	logistics	TRUE	none	none
C&I-SE	C&I	SE	It is very unlikely to be broken but thanks for letting us know Francesca.	logistics	FALSE	SE	none
C&I-C&I	C&I	C&I	Dorothy is advising Gordon to first switch it off for about three minutes then switch it on again because she had the same problem .	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Oliver is answering the question. He says he will first wash the boy's ears then after put antibiotics.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Great. OK Catherine if you are able to give the correct answer now to everyone in the case study group that would be great.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Oliver please put your answers in the case study group. Thanks.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	He says if there's no difference after one week, he refers the boy to a specialist in a bigger hospital before it worsens.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	I request Catherine to translate Dr. Andrew's messages to Luganda	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	What Catherine is writing in English is for Andrew, not the VHTs	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	So Mr. Luke what needs to be translated will be translated for you.	logistics	TRUE	none	none
C&I-QA	C&I	QA	Nora today explaining how to use antibiotics. Remember: always ask about patient allergies	logistics	FALSE	C&I	C&I
C&I-C&I	C&I	C&I	Well done my fellow VHTs. I want to direct you how we get videos - you tap in messages, then click down - you see the word play. On that circle - when you click it - the video will start.	logistics	TRUE	SE	none
C&I-C&I	C&I	C&I	Greetings Dr. Andrew you told us on Thursday that patients should be coming to SN. Like the old man with wax and another lady who had a child and the child who had pus in the ear that we washed out. Her parent came here. The parent came today to tell us what to do. I want to know what time you will arrive.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Now Catherine I request you to inform Dr. Andrew. There is a girl that they have told to come back today. Her parent brought her. That photo of the girl is here in the group. I examined her, she had a perf and wax. They have brought the girl back. The lady is asking what time will you arrive.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	Agree. Any one who is having problems with your phone just come to omnimed between now and 2pm	logistics	TRUE	C&I	SE
QA-QA	QA	QA	Some people are not replying to the questions. People from the other group are active but not us.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Which people are you meaning, maybe say their names so they know.	logistics	TRUE	none	none
SE-SE	SE	SE	My fellow VHTs, especially of Kirijja Butoke, do your work of house visits and also take note of the people in each household. You know that I appreciate the work and please keep up.	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	Dorothy I have just come back online, The photos you are talking about I can't see them. Tell me how I can look for them on my phone - this is Oliver Seeta Nazigo.	logistics	TRUE	C&I	none
SE-SE	SE	SE	Greetings everyone, well-done and thanks for responding to the questions, I encourage everyone to love the work we do, but the most important thing that shows that we are working is to bring the forms in the box, our bosses checked in the box yesterday but they didn't find any form, so I encourage you to bring the forms, if you can't manage to  bring the forms and there is someone who is coming to Seeta now like those who stay together in Kavule you can all give to Isabella or Edward to take the forms in the box and you save your time, please let's keep working hard, nice weekend.	logistics	TRUE	QA	none
C&I-C&I	C&I	C&I	My fellow VHTs I have a problem with my eyes - when I look into the phone my eyes itch a lot. Is there anything I can do?	logistics	TRUE	none	none
QA-C&I	QA	C&I	Is everything OK Jane? This message doesn't make sense. Also please remember that on Monday you need to go back to see the 53 year old man we saw this week to do a wash out. If you want us to accompany you please let us know.	logistics	FALSE	SE	none
C&I-C&I	C&I	C&I	Also has anyone heard from Qiana ?? We have not received any messages from her.	logistics	TRUE	none	QA
C&I-C&I	C&I	C&I	I have not heard from her. I don’t know what is wrong.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Jane what does your message mean? What do you want to know about?	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Send us an Audio to let us know what you want .	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	I was with Qiana trying to teach her how to send messages so that message was just a trial one.	logistics	TRUE	none	none
SE-SE	SE	SE	Thanks Edward.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	She says she's still learning how to use the phone. Also, you told her not to do any home visits without accompanying her. That's what was stopping her. I just got to see her today as well.	logistics	TRUE	none	none
C&I-C&I	C&I	C&I	Ok Jane. We will go to your home visit on Monday.	logistics	TRUE	C&I	none
C&I-C&I	C&I	C&I	If you are waiting for a white man, does that mean you don't reply on any message or go on any home visits.	logistics	TRUE	none	none
SE-SE	SE	SE	I send my appreciation to my group mates and the Makata/ Seeta Nazigo group for the    work you have done. Thanks also go Dr. Andrew for your effort  and time for this project I also thank Catherine and Bryan for proper translation. God bless you and good night.	logistics	TRUE	SE	none
SE-SE	SE	SE	Thank you for replying to the question in the case group. For those who have not been able to do , next time enquire from your fellow VHTs so that you know what to do next time. Thank you again	logistics	TRUE	SE	C&I
SE-SE	SE	SE	You are most welcome Edward, thanks for the hard work and all the regular responses. Let's all keep the good work and learn from each other.	logistics	TRUE	SE	none
SE-SE	SE	SE	I thank all the group members of Kirijja Butooke, Makata Seeta Nazigo for participating and responding to the cases, let's be together even for the next time when we get another question let's participate, where we don't understand let's ask our friends, we were told to read the manuals so that we prepare for the next program, thank you so much. I also thank Dr Andrew, and his translators Bryan and Catherine, thank you so much, you have tried so much to translate what is right from what we have been saying for example changing from English to Luganda and the vice versa	logistics	TRUE	SE	none
SE-C&I	SE	C&I	VHTs on the side of where Qiana is please go to help her. Also Qiana should also look for the VHTs around her to help her how to respond to the questions because it doesn't take long for someone to learn, am not saying it in a bad way, but as VHTs of Kirijja Butooke, you have to work together in pairs so as you go on home visits and train her so that she can learn.	logistics	FALSE	SE	SE
SE-SE	SE	SE	Thank you all. Nice weekend	logistics	TRUE	SE	none
