Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	sixSupervisoryCategory	Sender category	Anonymised message
Communication and information	Supportive environment	Supportive environment	Supportive Environment	NA	NA	No entry for sixSupervisoryCategory	Peer supervisor	" Greatings members, thank you for all you are doing to see that we develop our community in Health, now there is a problem which may not be good to our coordinators, the way people are responding to questions is not encouraging. Some VHTs are not replying to cases for example like yesterday, I encourage you to respond to the cases and answer the question the way you understand it, because even if you are not right still in the evening we get the right answer, I also encourage you that whenever we get the answers let's go back to ours notes and remind ourselves about the issues we are learning about. I have understood that there is a book which will be put to show the way people respond to cases, so I don't know whether it will be showing the Marks and our performance, so I advise you all to be active. Another thing I am not sure about is whether Qiana receives her phone back but to those who have their phones, please let us use them to share ideas so that we can take this project ahead also to make our representatives happy, I know they were so upset yesterday. I wish you a good day."
Communication and information	Supportive Environment	Quality assurance	Supportive environment	NA	NA	No entry for sixSupervisoryCategory	CHW	"Hello Edward, greetings welcome back from the home visit we had, have a good night, the patients appreciate the work, thank you for your time. Their condition is good as you saw, it is not worrying. Thank you our good supervisor"
Supportive environment	Communication and Information	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	" Doctor, you're free to go because I'm looking for the man but can't find him. He has left the place he has been waiting from, his vision is not good so someone has to hold him by hand. You can go. We shall prepare ourselves on 4th and 5th."
Quality assurance	Communication and information	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Preferably try review patients first. There will only be 1 surgeon coming for 1 day on tuesday. We have to prioritise the urgent cases for her to review first eg. People who have been seen and have a problem like a perforation or pus will get priority over those who have a problem like wax or those who have not been seen yet by VHTs
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Thanks Bryan
Supportive environment	Communication and Information	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	We are hee in the road waiting for him with Gordon
Communication and information	Quality assurance	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	"That's great Edward. Ideas could be mosques, churches. Other people to inform are  LC1 chair persons, owners of popular shops at trading centers, nursery schools or Primary schools"
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	Thanks Karl. Come we eat together
Quality assurance	Communication and Information	Supportive Environment	Supportive environment	NA	NA	No entry for sixSupervisoryCategory	CHW	Good morning fellow VHTs thank you for the work you are doing. I am also doing good. I would like to remind you that we organised to examine patients at the church in Makata and I request each of you to remain with this plan. The service ends at 1pm so as soon as it is done we should examine them. 
Quality assurance	Communication and information	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	"Greetings VHTs, I read the information about the party we are having on 11th of July and also opening the new building, and you told us to come with one guest. But I suggest before we call anyone else, we should make invitation letters calling the Health workers like the in charge of Seeta Nazigo where we work from, we give them a chance, the Master of Ceremony I suggest we call a person called Dauda, most people call her ""Dembe lya Museveni"" (meaning the peace of Museveni) because she does her things very well, she will not make us stay hungry because most of the MCs make people stay hungry, I suggest we bring up ideas on this issue."
Supportive environment	Communication and Information	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Hi vhts. We are here at the health centre. Just waiting for Dorothy and Patricia for the 9am assessment
Quality assurance	Supportive environment	Supportive environment	Supportive Environment	NA	NA	No entry for sixSupervisoryCategory	CHW	" I was thinking that Matthew needs to be helped, and informed on where to write his issues, we shall be happy if those around him direct him where to put the messages, that the VHT case group is for learning, let him use the Seeta Nazigo group. It is true he has a problem with his leg and I have ever seen him at the health centre looking for treatment. It doesn't look look when you open messages in VHT case group and you find Matthew talking about himself alone or Gordon doing the same. I have only mentioned the two because am always making jokes with them but even others, let's write in the right groups in order to get good communication. Thank you"
Communication and information	Supportive Environment	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Thank you Edward. We appreciate your supervision and assistance.
Communication and information	Quality assurance	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	"Greetings to you all VHTs, there are some papers we found showing the same patient who was working on by 7 VHTs (in the end this was a mistake - it was the case practice question!)"
Communication and information	Supportive environment	Supportive environment	Supportive environment	NA	NA	No entry for sixSupervisoryCategory	CHW	" Greetings VHTs, thank you so much for serving the nation, am Nora and this is how I respond to Edward's question, did he ask the patient about that thing, whether the patient was born with it or it came recently, if it was there from birth then it has no problem, so my question is, has it just come or the patient had it? Thank you."
Communication and information	Quality assurance	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Peer supervisor	"I can't forget to remind you to bring the forms at the health centre. Though we have got some problems these days, I don't know how it is that side, but if it rains people seem to be going to their garden so it is hard to find someone at home. They are always out farming. But even if you just maanged to do 1 visit, drop the form off at the health centre. "
Communication and information	Quality assurance	Supportive environment	Supportive environment	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Good morning VHTs. Just a reminder that when you complete forms please do so correctly. Some are missing the hearing information and are blank. We can only then assume you did not test for hearing. Thank you and have a good day
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Thank you Dorothy !!!
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	We are fine sir what of you?
Supportive environment	Communication and Information	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	Harriet could you escort me I have a patient at around 4pm. How is that. 
Communication and information	Supportive Environment	Supportive Environment	Supportive environment	NA	NA	No entry for sixSupervisoryCategory	CHW	Greetings VHTs thank you for last weeks work. I want to thank you for all your prayers because they helped. 
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	Nice  good  Friday  to  all  vhts.
Communication and information	Quality assurance	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	"We are getting blue and pink forms at the health center. Remember. Blue is for the patient , pink for health center"
Communication and information	Quality assurance	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	"VHTs, I encourage you to read all messages that you receive. And now Qiana, there's a message up there that says they won't be working today from Andrew. I therefore encourage you to read each message you receive."
Communication and information	Supportive Environment	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	Fellow VHTs I want to make greetings to you all. Good night. We will meet tomorrow God willing. 
Communication and information	Quality assurance	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Peer supervisor	" Good morning friends, how do you see if we go like in churches, and among the people neighbouring our villages we work from and we teach them about ear diseases?"
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	Thank you very much Dorothy
Quality assurance	Communication and Information	Supportive environment	NA	NA	NA	No entry for sixSupervisoryCategory	Facilitator	"Good morning. We will start the cases today . We also have not heard from Karl , Qiana or Jane. Please could you guys remember to contribute to this group"
Communication and information	Quality assurance	NA	NA	NA	NA	No entry for sixSupervisoryCategory	Peer supervisor	Some people are not replying to the questions. People from the other group are active but not us. 
Communication and information	Supportive Environment	NA	NA	NA	NA	No entry for sixSupervisoryCategory	CHW	Thank you Andrew
Quality assurance	Supportive environment	Communication and information	Supportive environment	NA	NA	No entry for sixSupervisoryCategory	Peer supervisor	 Good morning Gordon. I am just seeing that now. What happened to Francesca is really bad but let's make sure we contact her and strengthen her. Let's also wait and see what happens next as we find out where exactly she is.
