Strict score,Loose score,C&I rank,C&I score,SE rank,SE score,Q rank,Q score,Sender Role,Message
-42,6,0,82,2,64,1,24,Facilitator,Yes thank you so much to all vhts for these suggestions. Its hard. Ideally she needs to be in a health centre for a few weeks to get special treatment. But I don't think the mum can afford it and she has mental health issues meaning I don't think she can be responsible for the child. I agree with Karl. We should first involve the father and His parents. Some vhts should go in a group to inform them and try come up with a solution which the family think they can manage. If that fails a good samartian might have to accompany the child for a few days.
8,8,0,61,1,72,0,3,Facilitator,"Nora, Qiana, Isabella, Gordon, Patricia, Jane, Francesca, Harriet ne Dorothy thanks for taking the time to reply. "
13,13,0,55,1,81,0,13,CHW, Super well done Patricia. Yes that is correct.
15,15,0,79,1,93,0,-1,CHW,Good morning fellow VHTs. Those of you who are not answering the questions. Qiana comeon. 
18,18,1,84,0,44,0,22,CHW,"I still feel pain, am trying to step down slowly I don't know whether tomorrow I will get treatment because am going back to see a specialist"
22,22,0,86,1,104,0,-4,CHW,"Good morning my fellow VHTs, thanks for the work we are doing for the country. Welcome back from the church for those who went for prayers. The ones who I sending you greetings is Qiana and welcome back. "
27,27,0,16,1,78,0,35,Facilitator,This is excellent Edward. You are acting as an advocate for your community and as a leader informing people of their rights as citizens. Thank you for your hard work.
28,28,0,66,1,94,0,0,CHW,"I thank my fellow VHTs like Dorothy, Luke, Bwendi, Janet, Karl, Isabella and the rest we work with. Patricia, thanks so much. Thanks for replying to questions. It motivates our teachers. It shows we were giving it our all during the training. They also get to know the people they placed in communities to help the people are doing well. That's it. God bless you and keep it up. Amen."
28,28,0,53,1,84,0,3,Facilitator,"Thank you very much Harriet, Luke, Nora amd Patricia. The rest of you please give me your replies. "
35,35,0,65,1,98,0,-2,Facilitator,"Thanks all of you, because all your answers are good. Do the same tomorrow. Good night. "
-182,36,2,51,1,58,0,73,Peer supervisor," Sorry Matthew about the pain in your leg, and reminding Francesca about Tendo, but am requesting you that if you have any problem about using the groups try to get some one who knows like Francesca, Byamukama and other people in the other groups, we work together and see how we can solve that problem."
38,38,1,76,0,36,0,2,CHW,What you have said is okay but where shall we get the MUAC tape from? You're the ones with them but we know how to use them because we watched the video. I don't if others know but I personally do from the video I watched.
39,39,0,46,1,86,0,1,CHW,"Good morning fellow VHTs thank you for your answers. Regards to Madam Catherine thank you for helping us, same regards to Dr. Bryan. "
41,41,1,90,0,36,0,13,Facilitator,Jane we want to know what causes itching in the ear before we know what to do with the patient. 
38,42,1,70,0,30,2,2,Facilitator,Mr. Matthew the messages you have sent in this group are meant for the other one. This is meant for the case studies. 
44,44,1,72,0,11,0,17,CHW," 4a) The reason as to why people don't go to health centres is not because of long queues but it's because of the few health workers. You see even us when we go out in the community to treat ears, you can work on three people and feel fatigued already. Those health workers get tired, and that's why they're unable to work on some patients. Others ask for bribe. Another issue is, when ears just have discharge some people don't feel pain. In Uganda when someone doesn't feel pain it's hard for them to go to the doctor. That's my point. Also, our government doesn't mind much about health issues. It only cares about security issues. Actually the security budget is higher than that of health. If only the health budget was bigger, we would be so lucky."
45,45,0,44,1,90,0,1,CHW,"I am sorry for replying in the other group. I had forgotten but I am really sorry and thanks Bryan for reminding me. By the time I remembered, I had already sent it. Thank you so much."
46,46,1,96,0,51,0,-1,CHW,"This is my reply to todays question - when I go back after 2 weeks and she didn't buy the medicine I tell her she didn't do a good thing because she is sick and she needs to improve her health. The more you delay the more money it costs. When you treat it earlier, you spend less money and you get cured very fast. "
47,47,1,91,0,43,0,1,CHW,"Fellow VHTs, this is my reply to today's questions. 4a) What prevents patients from going to Mulago is because the president said it's no longer free of charge. They will continue using it to treat only very complicated diseases and someone has to pay some money. The amount I heard him mention was too high to be affordable by common man. Another issue is some people don't know where it's located and the queue is always long. Doctors always want some money which we may refer to as bribe. 4b)In 2009, we had few doctors because all doctors who have gone to school end up going abroad (brain drain). It is an important issue that is caused by low salary. 4c) Those doctors should be coming to health centres grade II, III and IV. They should give out their phone numbers. That's my reply to the questions. I remain Byamukama Gordon."
50,50,0,27,1,81,0,4,Facilitator,Thank you very VHTs for those who have replied on todays case. 
51,51,1,78,0,13,0,14,Peer supervisor,"That patient has pre-auricular sinus and it's responsible for her ear being in that kind of condition. What I can do is give her pain killers to reduce pain. After that, I refer her to specialists for further examination."
54,54,0,27,1,86,0,5,Facilitator,Super answers Francesca. Well done!!
55,55,0,36,1,91,0,0,Facilitator,Very interesting points. Thank you for sharing Edward.
56,56,0,35,1,98,0,7,CHW,Greetings fellow VHTs. Thanks for last week's work. Those with patients and who have lost loved ones may God be with you. I welcome back you all from the meeting at Seeta Nazigo. We thank God for bringing you to attend and I'm sure He has enabled you to reach safely.
58,58,1,87,0,31,0,-2,CHW,"The question I would like to ask is why do most people who get checked using RDT are not found to be having malaria yet they feel all its symptoms. And when they check using a microscope, they discover it. I would like an explanation on that. Another question is why is it that when someone begins to take malaria tablets their condition worsens. If they weren't convulsing especially amongst children, they begin to. What causes it?"
-13,61,0,73,1,97,2,37,CHW,"Greetings fellow VHTs and this is my suggestion about the child. It's true the child's father is around but is no better than the mum. The other relative is the paternal grandfather but he is 100+ years. I think much as the parents are not mentally okay, they have done something because the child looks better than she was when they had just brought her. I suggest if the child is given treatment, us VHTs don't stay very far from them and can check on them once in awhile. The mother told me the problem is she doesn't take milk and only takes porridge after being forced. The other food she tries to eat is rice and posho. Also, she can hardly afford it but if she gets it, she's able to feed her. She's also capable of looking after her child since she's not that badly off mentally. I suggest if the child gets treatment, we can check on her every now and then to show her how to give it to her. That's my opinion."
62,62,1,85,0,3,0,20,Facilitator, If we can't see this person now Dorothy we should see them first thing in the morning
62,62,1,96,0,32,0,2,Facilitator,"Acute Otitis Media (AOM) WHICH SHOULD NOT BE CONFUSED WITH CHRONIC SUPPRATIVE OTITIS MEDIA WHICH IS WHERE PUS IS PRESENT is just where there is a red, painful ear drum, but no perforation, no pus. It is not dangerous and usually settles with simple pain relief. It is most common in young children under 5, but can happen to anyone at any age. It is usually caused by a simple virus, and therefore does not need antibiotics. Remember antibiotics are only effective against BACTERIA, NOT VIRUSES. Finally the child might also have a cough or cold cause by the same virus."
62,62,1,82,0,8,0,12,Peer supervisor, What I do for that mother is to give her antibiotic drops to be put in the boy's ears i.e three drops three times a day for seven days. Afte 7 days I follow up. 
63,63,1,80,0,0,0,17,Peer supervisor,"I have seen that patient, after seeing them and doing all that I send them to a specialist for futher examination. The specialist can see what to do for that one. "
64,64,1,84,0,19,0,1,CHW,"This is my answer to the first question as Harriet. Some people are reluctant to go to the health centres because they're asked for money which is true. Much as they do ask for it, the government facilities have no medicine. You can only find it there once in awhile. Another reason is they take long to attend to the patients. Some patients can be very ill and decide to sleep around the health centre but when the nurses arrive they insult them instead. Some nurses are very rude but very good ones are there too."
65,65,1,91,0,23,0,3,CHW,"If I examine the ears of the 50 year old woman and find no wax but she says they itch, I advise her not to use sticks in them. Another thing is she may be having infections in her blood."
65,65,1,70,0,3,0,2,Facilitator,Ok Luke
66,66,1,95,0,31,0,-2,CHW,"As for today's question concerning yesterday's gentleman, these are the causes of hearing loss I can give. First of all, diseases can affect ears causing hearing loss. Secondly, loud noises like bullet sounds can cause the problem too. Some people are born with abnormalities on the bones of hearing. Disabilities for example some teachers at schools slap students in the ears. In addition to that, violence in homes causing one partner to beat the other which may damage their ears and cause hearing loss. Using strong medicine like quinine. Lastly, old age though that gentleman is 37 which is not so old. That's my reply to today's question. I remain Gordon, VHT Makata."
67,67,0,16,1,90,0,7,CHW,Thanks Dorothy and well done. One litre equals to two cups of water though not four. That's what I think.
-51,67,2,59,0,89,1,97,CHW,"Greetings Bryan, for the work you're doing. I have a client with a perf and pus, they need the medicine. Please send me the medicine for this. I will take a photo of the child. "
68,68,0,24,1,92,0,0,Facilitator,Thanks for the information
68,68,0,9,1,81,0,4,Facilitator,Dorothy thank you for your reply. 
-36,68,2,52,0,80,1,96,CHW,"Isabella, that issue you have pointed out about our patients is good . As for X, if only you had seen Doctor last time. Now X and her husband got lucky. They got for them a specialist who will be working on them. If you had brought that child for his ears to be examined, we would have gotten somewhere and doctor would have helped us. They would go at once with the rest because he will be the one driving them. Don't you see in his message?"
69,69,1,93,0,10,0,14,CHW,If the boy hasn't gotten better I refer him immeadiatly to the bigger health center. 
70,70,1,89,0,19,0,0,CHW,"Sorry I had forgotte to give the name of the disease, but it is called otitis media. "
71,71,1,85,0,15,0,-1,CHW," Second reason that stops them is government doctors who have so much interest in money and a lot of money. If they don't know who you're or have no attachment to anyone, you cannot access them. The rich get seen first even when you get in line before them. That also discourages people. If there's any way these doctors can change their attitude, we shall be glad."
72,72,1,92,0,21,0,-1,CHW," 4c) What we can do to ensure such people are taken care of and followed up is  fulfilling the needs of the doctors health wise, personal needs and may be spiritually. Also, training VHTs to acquire more skills than what they already have for example we are now more skilled than our fellow VHTs who were left out. Extending health services nearer to communities for easy accessibility and for VHTs to follow them up easily. That's my opinion."
73,73,0,21,1,95,0,1,CHW,Thank you very much. 
73,73,1,89,0,0,0,16,CHW,"In the same house. I found another child who has a problem with both ears. A parent told me whenever the child has a cold, the ears also get affected. So the parent told me they got a doctor for a child. So this doctor traced the child. They asked about the condition of the child. I left the doctor to treat the child. "
73,73,1,92,0,18,0,1,CHW,I advise her not to miss a day of putting the olive oil in. Sometimes you give them the olive oil and they decide not to follow the instructiions - they apply it just once a day. But I emphasise the instruction. 
74,74,1,97,0,23,0,0,CHW,"Its me Harriet. I can see the childs ear has pus. And the disease the child has is called otitis media. That is what I see, but I have just seen this so that is why I am replying now. "
75,75,1,86,0,10,0,1,Peer supervisor,"You asked us should people buy medicine for themselves. My view is yes. People should buy it for themselves because the medicine might be so expensive so if we buy for them we might fail. Yet it is so bad to start something and we do not finish it so I think they should buy the medicine for themselves. Why? Me I want them to buy it for themselves cos people will be more careful. We are careless me inclusive. For example you give them free olive oil to put in the ears, but you go there and try to wash out the ear so when they buy it they will take the responsibility to make sure their money is not wasted. When we give it for free they can drop it on the road side even when they have not finished their doses. They throw the medicine - if we give for free they won't take it seriously. So I want them to buy it for themselves. That way they will be more responsible. Another thing when the person buys his or her own medicine it is properly prescribed and the money. So the person can also tell a friend that I bought the medicine for myself, it is not from the government or free of charge. "
75,75,1,86,0,6,0,5,CHW, That disease is on the outer part of the ear because that's where you've pointed. The bones behind the ear are swollen too.
76,76,1,86,0,5,0,5,CHW,It is caused by how we take care of our bodies. Poor hygiene is responsible for such conditions therefore it can lead to an infection like otitis externa.
76,76,1,91,0,5,0,10,CHW,"Catherine, I call the disease otitis externa because it's on the outer part where he has pointed"
78,78,1,93,0,17,0,-2,CHW,"If Joyce's mother asks me the causes of acute otitis media, I tell her that since the child is young her body cannot fight against diseases. I also tell her that severe malaria causes it too. I then advise her to feed that child on a balanced diet and to treat them if they suffer from malaria because those are the two biggest causes of that disease. That's my answer to today's question."
80,80,1,91,0,6,0,5,CHW,"My reply to the first question is - first take the history of the patient, then you examine the ears and test the hearing. Then question B. You write the history on the form that was given to us, then question C. Name of the patient, sex, age, and how long they have been having the problem. "
80,80,1,89,0,3,0,6,CHW,"After washing the ears of the patient and finding out the wax is still there I do the wash out again, if I found out it is still there after washing out again I refer the patient to the specialist. "
81,81,1,91,0,9,0,1,CHW,I  am Isabella Kizza. People don't want to go to government health centres because their health workers don't care about patients. I think you all remember during the training the lady who almost died from there just because she was lacking water. That's the reason people would rather pay money in a private clinic where they care.
82,82,1,94,0,2,0,10,Peer supervisor,"Some of the other questions I can ask the mother are how long has the child had the problem, and the medicine they have been using to treat the child. "
83,83,1,89,0,4,0,2,Peer supervisor,The tablets I know they give to children with diarrhoea are called zinc.
84,84,1,88,0,3,0,1,CHW," My question is they always tell us one may suffer from malaria and it damages their brain, what type of malaria causes that?"
85,85,1,89,0,3,0,1,CHW,"As a VHT, what I can do is to sensitize them on what to do and ask them to avoid things that may affect their ears."
-103,85,1,13,2,81,0,9,Facilitator,"Thank you Karl, You were supposed to stop on the date. "
86,86,1,92,0,0,0,6,CHW,The illness is called 'otitis externa'. 
87,87,0,0,1,93,0,6,CHW,How are you Andrew? Thanks for the work. Thanks for training us.
-223,87,1,71,2,84,0,68,CHW,Isabella are you back so that we can go wash the other old ladys ears as we agreed? Because the appointment time is about to reach so please hurry if we are going to reach this woman on time. Thanks so much. 
-186,88,2,85,0,49,1,52,Facilitator,Ok the little spot I am not concerned about. I just thought the back of the tragus looked very swollen like mastoiditis. It sounds less concerning if he is generally ok. But let's go see him tomororrow. 
88,88,1,90,0,2,0,0,CHW,"Question 2. When I find those people in my community, I encourage them and tell them they ain't alone with hearing problems. I also advise them that there are organizations that empower deaf people with technical skills in carpentry and tailoring using sign language. We have encountered such people in society and they are usually very good. That's the advise I can give. There are also schools that teach deaf people using sign language."
-212,88,0,62,2,91,1,59,CHW," I also greet you my fellow VHTs, thank you for the work you are doing, greetings Mrs Isabella, about that issue, as me Nora this is how I respond to you, I also had the same issue where Mrs Anna who got the same problem yet we had washed her out and gave antibiotics, but when she came back to me, I did what I was told in the meeting, I washed her again and gave her antibiotics, now she's feeling okay and she no longer her pus in the ear, I was suggesting may be you do the same to your patient, you do a washout and give her antibiotics, the pus will stop, I encourage other VHTs to give their ideas, thank you."
89,89,1,98,0,3,0,6,CHW,I Luke. The first thing I do incase there is no change is to refer the child to specialists because there is nothing else I can do. So I send the child to Mulago. 
89,89,1,91,0,0,0,2,CHW,I personally say we should improve sanitation in our communities and continue sensitizing people to sleep under treated mosquito nets.
89,89,1,93,0,1,0,3,Peer supervisor,What I see in the picture is someone's head with an abnormal shape of the pinna.I know it as microtia. How I can handle the condition is by letting the person know it's possible to be operated if they're fine with it. And then I refer them to a specialist for further examination.
89,89,1,94,0,0,0,5,CHW,"The advice I give her is to not insert anything in the ears, like they insert things in their ears then the wax sticks. "
91,91,1,99,0,8,0,0,CHW,"Question no.1) if I find that lady with pain and discharge, first thing I do is to give her some pain killers to reduce the pain. After that, I wash her ear. When I'm done washing her ear, I dry it. Next I put in antibiotic drops to heal the wounds. Three drops. I then let her go home. That's my answer to the first question. Question 2) I take her history but before that, I give her the consent form to confirm that she has accepted the treatment I will be giving her. I explain to her why she has to sign it. After accepting, I give her pain killers. When she says the pain has reduced, I do the ear wash out to remove the discharge. Next I dry it like I said in the first place. Another question, what important questions I'm I supposed to ask her. They include, how long she has had the pain, if she has had any treatment before and then I examine. After examining, I ask if she has any allergy. If she says she has, I call my bosses to inquire from them what to do like they told us."
92,92,0,-2,1,96,0,6,Facilitator,Thank you very much Mr. Matthew
92,92,1,94,0,0,0,2,CHW,Now for the last question. If I see that the wax is still there after doing all that I make a referral to a specialist. 
92,92,1,98,0,3,0,3,Facilitator,Q2b. You then look inside her ear and you see this. What do you see and what you think this might be?
-115,93,1,17,2,87,0,11,Peer supervisor,It's a good idea. We shall try to do that in our community of service and wait for those who can come to us by themselves from far places. Thanks.
93,93,1,97,0,2,0,2,CHW,"This problem is there in Uganda (4B), because someone can care about his child and pay for school fees, the child goes to school. After studies the child can't find jobs and those people who are doing those jobs are so old. The parent sees they have lost money on the child. They think of another option - so they tell the child to go abroad to look for jobs. Those people abroad have more opportunities that here in Uganda. That is why they go abroad. So here we don't have experts. Another problem and cause, though our doctors work hard - they get little pay. They know the money is not enough. Even getting that money some of them don;t get it on time. They worked for their money, but the administrators take months and months. They stay in self contained rooms which are costly, the need to buy food, pay bills. All this is hard if you don't get paid promptly. These are big sacrifices for them to make. If the conditions are so hard why can't such a doctor just go abroad where they are paid well. "
94,94,1,97,0,5,0,-2,CHW,"I will start with the second question, the reason as to why people who are poor normally get chronic supprativr otitis media is that in most cases poor people have no money to take them to the Health centre to get assessment and also treatment, that's why they end up using sticks when they've got a lot of wax in their ears, some stay in pain not knowing even where to go to get help, now like a disease for sickle cells in some places they offer free treatment but because of lack of transport to take them where there is free treatment, they get affected. Therefore they lose hope, even in Seeta Nazigo Health Centre, they may be offering free dental services but a poor person even fails to get 5000 shillings to bring him or her for treatment which is not the case which the rich."
98,94,1,98,2,-2,0,2,Facilitator,"What is the ""hole"" called Luke? There is a technical term to describe it which you should now be aware of . If you are not I advise you to refer to your booklet from the training day in January."
95,95,1,99,0,6,0,-2,CHW," I write the history in the other big book that was given to us. I write down my names, head of household who signed the consent form and the names of the patient, their village plus everything concerning their ears. For example they told me they feel some pain, so I ask how long they've had it. After that, I ask them if they have any other disease besides ears. When I'm done with that, I embark on examination for the second time since I would have finished the wash out and given them some pain killers. I then check their hearing using the whispered voice hearing test. After that I give them a copy of the form to confirm that I have successfully treated them and then I take the pink one to the health centre. As for the white one, I write in it like Dorothy told us i.e the phone number of the patient and where they stay to help me remember."
96,96,1,95,0,-1,0,0,CHW,"Question B. People are discouraged when there's no treatment for hearing loss. Hearing aids are so expensive yet the disease is so rampant amongst the poor. People are unable to purchase them which is a big problem. I heard that they cost between shs. 700,000 and shs. 3,000,000. Some of our patients here in Makata were once told the same thing."
96,96,1,98,0,2,0,0,CHW,I have not been around and had no battery
97,97,1,101,0,5,0,-1,CHW," This is my reply to today's question. I refer that patient to a specialist, because his condition is hearing loss therefore he needs a hearing aid."
97,97,1,97,0,1,0,-1,CHW,And after doing the dry mopping I check again using my otoscope. If I check and it is not clean yet I mix iodine and water again (1ml of iodine and 9ml of water). Then I wash out. I do it the second time then I check again. 
97,97,1,100,0,4,0,-1,CHW,"B. People are frustrated because of poverty. It all goes back to poverty. People are asked to buy the hearing aids but they give up because they don't have money. If only the government puts more emphasis on health issues for example by constructing more facilities where people can buy hearing aids, they may cost way cheaper than they do now. It hasn't put any effort in health but has instead done so in security."
98,98,1,102,0,7,0,-3,Facilitator,"If you look closely Luke, the ear drum is red and swollen."
98,98,1,94,0,-4,0,0,Facilitator,"Ok Karl, so it means the government is the one responsible, but it doesn't have that?"
100,100,1,98,0,-7,0,5,CHW,"After I'm done with that, I give him antibiotics. To put in his ear."
104,104,1,95,2,8,0,-1,CHW,"Well done health workers. Symptoms like not urinating, passing out stool all those times and sunken eyes are all very dangerous when a child has diarrhoea. We immediately mix ORS and ask the mother to give it to the child until they get to the health centre. I refer them to the health centre because I don't have treatment for the condition."
104,104,1,98,2,3,0,-3,CHW,Another question was saying do you think people should buy medicines for themselves; it is true. The first reason is that in Uganda now there is a problem with medicine - it doesn't care about health. So someone has to buy medicine for themselves. Another thing is that when you use your money to buy medicine you use it as directed. But in most cases people become careless because they got it for free. They did not put any money from their pockets in - but if they use their money they can do things right. So I think people should buy medicine according to the way Uganda is. Even in Mulago nothing is free. That is my suggestion have a good day. 
106,106,1,98,2,9,0,1,CHW,"c) I ask for the name of the head of household, their sex and age.  ask how long she has had the condition and whether she received any treatment. If she says no to the latter, I seek for her permission to wash her ears. If she accepts, I wash and dry them and then re examine to see if they're now clean. When I'm done with that, I put three antibiotic drops for three weeks as I do follow up. Regards to you my fellow VHTs and thanks for answering the questions."
-195,107,1,68,2,83,0,44,Facilitator,Thank you Isabella. You are filled very well but you were supposed to stop on the date. You have not put the sex. 
-116,108,2,108,0,4,1,4,CHW,"Edward, The person you are talking about who has a foreign body who comes from Makata, they have brought them. I want to know where they come from so that we can also understand the one you are asking Andrew about. I was to know is it a man or woman?"
110,110,1,99,2,8,0,-3,CHW,"This is my answer to the question fellow health workers. It doesn't differ so much from what my fellows said. We can prevent malaria by sleeping under treated mosquito nets, clearing bushes around us, cleaning our compounds and ensuring there are no holes to retain water, burning any tins like the ones of vaseline and bottles since they also retain water where mosquitoes can breed from. That's how I can advise the people in my community. My question is, people in our areas ask us that since we advise them to sleep under mosquito nets and the government gives them those nets free of charge, can't they also give them the medicine used to treat them? Some of them are low income earners so after washing them they cannot afford it. That's my question. Have a good Sunday and regards to you. I apologize for being the last one to answer the question. Mistakes are human but I am sorry. It's me Hadijja."
-130,110,1,50,2,70,0,10,Facilitator,Well done Dorothy this is absolutely correct. Do all other VHTs agree? If you do you don't need to reply to the question as this is the correct answer.
110,110,1,109,0,0,0,-1,Facilitator,At what time?
112,112,1,105,0,-5,0,-2,CHW,1a) I first introduce myself to the head of the household and seek their permission to check her or any person in that household.
-117,113,1,17,2,98,0,2,Facilitator,Thanks for contributing Matthew. Please see the answer I also gave to Gordon. Thank you
114,114,1,94,2,22,0,2,Facilitator,"Francesca one of the boxes. You have said both ears are abnormal, but you were meant to tick one box. You have not indiciated issues with the ear or ear canal to show how they are. You have indicated well about the hearing test and thanks. The last part of the paper can't be seen. "
115,115,1,107,0,-7,0,-1,Facilitator,This is todays question. 
115,115,1,93,2,22,0,0,CHW,Please forgive me. I didn't reply to the question because my battery was dead. I have the solar charger but there was no sunshine. By the time I checked it was too late for me to answer. 
-129,115,1,42,2,80,0,7,Facilitator,Thank you very much Dorothy. You are right but we only wanted the first part. 
-161,115,2,93,0,23,1,45,Facilitator, Francesca told me that the mother was waiting for me to take her to Mukono HC IV on last Friday at 2pm. I don't know may be she is still expecting a lift to the Health Centre. I was thinking of passing by her house today.
-171,117,1,59,2,85,0,27,Facilitator,"Karl you did well. The first part and thank you so much. You were supposed to tick that the person has a hearing loss. Another thing, you are supposed to tick the last box to show that you have left a copy with the patient and the health center and to write a plan of what you want to do. "
118,118,1,111,0,-7,0,0,CHW,I take their history and ask how long they've had the condition.
120,120,1,71,2,69,0,20,CHW,"Well done fellows. All you have talked about is right. We go there and find long lines and we don't even get the treatment. The doctors that have studied should be given opportunity to work in health centres. Some doctors are very old and have worked for years me. You go to seek treatment and they refuse to attend to you .Someone feels like they inherited the position and can only leave after death. You hear people have studied but have no jobs but we haven't been helped. I always see from our health centres here forexample seeta Nazigo, you find a very old woman tired of giving birth and cannot even advise the pregnant women or take good care of them. I think they should give chance to the fresh ones. That's my opinion."
122,122,1,79,2,67,0,24,CHW,Good morning fellow workers  the picture shows me the disease called  fungal otitis  external.
-128,126,1,49,2,78,0,1,CHW,"Thank you Luke, thanks for advising me. Let me reply. "
-201,127,1,66,2,98,0,37,Facilitator,Ok thanks Gordon. Not necessarily true. For ACUTE OTITIS MEDIA (AOM) you can usually wait for 2 days to see if the child improves. They need pain killers and if they feel better no need to refer to a hospital.
130,130,2,56,1,77,0,3,Facilitator,"You have replied to the question well Matthew, but you have not told us what advice you will give to the patient. "
131,131,1,78,2,52,0,-1,Facilitator, All very interesting views. I think then as VHTs you should be advocating for the poorer members of society to ensure they are treated fairly.
-240,134,1,81,2,106,0,53,CHW,"Greetings to you all our health workers, Mwebe, Andrew, Bryan, Catherine and thanks for what you're doing for us. I would like to thank all the VHTs and our supervisors for everything you're doing. I can see a picture of someone either a child or an adult plus an ear which I think is the left one. If the person was born with that hole which we call lukatu in Luganda, it poses no threat. But from what we have been told if it causes problems like swelling, the advice I can give to the person is to refer them to an ENT specialist for further examination. The biggest problem is what we copy like pricking ears with machines which makes the ear look like two in one. That's my view. Thanks so much. It's me Matthew Johnson, VHT Makata."
135,135,0,-1,1,95,2,39,Facilitator,"Thank you Dorothy, you have given a very good opinion and please continue to encourage people and sensistise them on how to prevent hearing loss. "
139,139,1,88,2,53,0,2,Facilitator,Well done Gordon this is correct. It is a mastoid abcess and needs urgent referral
143,143,1,91,2,48,0,-4,CHW,"I will begin with the last question then answer the rest afterwards. Greetings to you all. If ENT specialists say that hearing aids are expensive, what I would do as a VHT is to counsel them. I would also politely advise them to go to schools that teach sign language. From there they can a lot of things. I know those people can even be more intelligent than us who are able to hear and speak properly."
148,148,1,100,2,44,0,-4,CHW,"I greet you in the name of Jesus. My suggetions about this lady Annette; when I go there when she didn't buy the medicine, my job is to talk with her very well because she was supposed to buy the medicine to help her get out of the problem. So I tell her to look for all ways of buying that medicine. Then I show her the benefit of treating the illness, so I tell her if you delay the illness will get worse, treatment wil become expensive. So I beg you to try as much as possible and buy the medicine. That is my suggestion. "
150,150,1,96,2,52,0,-2,Facilitator,"Thanks for the answers VHTs. The answers are as follows: Diarrhoea is 3 or more loose or watery stools in 1 day or Diarrhoea is a sign there is a germ in the belly. You can get diahorrea for all of the following reasons -	Eating foods prepared with water that is not clean or safe. Eating spoiled foods or uncooked meats; Children not washing hands; Caregivers not washing hands; Living in unclean conditions or too close to animals; Flies landing on uncovered food
"
150,150,1,95,2,58,0,3,CHW,"Question C. Incase specialists come and I have people with hearing loss in my community, as a VHT I would come together with my fellows and ensure we counsel them. We can come up with a health camp like the one we had at seeta Nazigo health centre III and bring them together. Others may be having their relatives with jobs and money so they can be helped. That's my only suggestion. Counselling them because we don't have money to give them neither are we ENT specialists. Only thing we can do is advising them and counselling them whenever that camp is conducted. Those who can access help, well and good but those who are not able to can be helped that way. That's my reply to the third question. It's me VHT Johnson Matthew. Have a good day our health workers who are present and the rest of the VHTs."
152,152,1,86,2,70,0,4,Facilitator,Well done Dorothy and Edward. This is the correct way to fill in the forms. Very good detail
-206,152,0,27,2,90,1,89,CHW,"Well done Isabella, what you need to do for that patient according to what we were told in the meeting, you have to do it like Nora has explained to you, do another washout, because the ear might be having a wound so you need to do a washout of about three times, then you give antibiotics, then you give her some pain killers to reduce on the pain, that is my suggestion."
