Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message
Communication and Information	Supportive environment - encouragement and praise	Communication and Information - logistics and Planning	Supportive Environment - thanks	NA	NA	Peer supervisor	" I would also like to remind those I will be moving with that I sent them an audio telling them we shall be meeting at the health centre developing a program. Please don't forget and keep time since what we shall be doing doesn't take much time. It could take less than an hour. If we keep time, we shall do what we are supposed to do and also go back and do other things. I remind you all that I sent private messages that today is the day we are meeting at 2pm. If there's anyone who would love to join us though they don't have a file, you're free to attend so we can share ideas and find out where our patients  stay. Thank you so much."
Communication and Information	Supportive Environment - Greetings	Supportive environment - thanks	NA	NA	NA	Peer supervisor	Thanks. Dr. How are you there?
Communication and Information	Supportive Environment - Encouragement and praise	Supportive environment - greetings	Supportive Environment - thanks	NA	NA	Peer supervisor	"Greetings, my fellow VHTs I am just reminding all those who have a programme of going to Mulago to keep time so they don't miss it. They have to keep time not to destroy this programme as it just the beginning. Since they are the first people going they have to keep time, because there will be others going. I want this message to reach them so they don't dissapoint and miss this chance. Thank you. "
Supportive environment	Communication and information - giving information	Supportive environment - apology	NA	NA	NA	CHW	"Apologies fellow VHTs. I woke up this morning to go and wash people's tents that were dirtened by the rain in Mukono, put the phone in my pocket and got a boda boda. I neither touched it nor removed it but on coming back, I got it out of the pockets only to find it off. It couldn't bring a single light even after trying to charge it. I inserted it in a power bank thinking may be the charger is faulty but it still jammed. Now later on this evening at around 6pm, I tried changing the position of the battery and it worked. I'm really sorry."
Supportive environment	Quality assurance - patient management	Communication and Information - logistics and planning	Supportive Environment - thanks	Supportive Environment - thanks	Supportive environment - religion	Peer supervisor	"Ladies and Gentleman, thank you for the work you are doing, I thank the members   whom I did the follow up with today, VHT Isabella and Harriet thank for the work you did and for your time, we pray God to keep guiding us and also the condition if our patients to continue being normal thank you so much. Another thing, our patient called X had a hole and when we reviewed again he had some pus, we did a washout but when it needs antibiotics which we didn't have, I request our concerned Coordinators to bring the antibiotics because when he used it at the first time it helped him now it has started again, he was told to use xbeta was so helpful to him, it will be so nice if he gets chance to get the medicine again. Thank you so much."
Quality assurance	Communication and information - training	Communication and information - requesting information	Supportive Environment - thanks	NA	NA	CHW	"Thank you so much Andrew for the information you shared yesterday, what I would like to learn more about, you may find a person with too much pus in the ear, even if you washout the ear, the pus doesn't stop or reduce, my question is, is there somewhere that the pus hides in the ear drum? And if yes, doesn't it affect someone when the pus hides somewhere in the ear? Can't the pus go through the mouth and accidentally someone eats it and gets another problem? Am still wondering about this and it confuses me whereby I need to learn more, and lastly the holes in the ear drum, how are they caused?"
Communication and Information	Quality assurance - reprimand	NA	NA	NA	NA	Peer supervisor	You should have brought the patient when the supervisors were still around. They told us to come back on Monday. 
Quality assurance	Supportive Environment - Encouragement and praise	NA	NA	NA	NA	Facilitator	Keep up the good work. There are a lot of people in Seeta Nazigo and Makata who need your help
Communication and Information	Quality assurance - patient management	Communication and information - acknowledgement	NA	NA	NA	CHW	Bryan the patient you are asking me about comes from Nakosi. We found him at the health center and we asked him who brought you. He said noone from the VHTs brougt me but he said they have a doctor who is a muzungu who is going to examine peoples ears here. Then we told the patient to come back but we were unable to follow up. 
Communication and Information	Supportive Environment - Greetings	NA	NA	NA	NA	Health Worker	Good morning how are you all?
Communication and Information	Quality assurance - patient management	Supportive environment - greetings	Communication and information - requesting information	NA	NA	Facilitator	"Good morning VHTs of Seeta Nazigo and Makata, I am going to read the names of VHTs who have follow up - so I want all of you to listen, where you reached with the patients etc. Give us updates about those patients. Francesca, Karl etc. please give us updates about the patients. "
Quality assurance	Communication and information - making a request	Supportive environment - thanks	Supportive environment - greetings	NA	NA	CHW	"Greetings my fellow VHTs, Am the usual person greeting you as you know my name, according to me, what we need to know more about is how to use the hook to remove the wax, I humbly request for a training in how to use the hook to remove the wax, because most of the patients I have found, you may give them olive oil and when you are going to washout, you find the wax when it has moved near the ear canal at the entrance which may need to be removed by the hook. I would suggest that we get training about using the hook and after that we get pain killers because truly, people know that the treatment is for free as you know things of Uganda and also a village can not be the same as it is in town, if someone expects that treatment is free and the person comes with a problem with the ears, when the person has pain, and itching, you examine the patient may be you find when the ears are normal but with itching and pain or when they have any abnormalities but sincerely the patient goes back with only olive oil without any pain killers to reduce on the pain and yet you trained us about the pain killers. I request Doctor to add that in our work so that our work can be good instead of someone coming and complaining that I took my ears thinking they are going to help me, I had pain and yet they are telling me to go and buy pain killers for 1000 shillings to relieve the pain. I would suggest that we get the pain killers, or capsules like dicrophenac or panadol, like if we are given a tin of panadol tablets such that a patient can go when he/she has the pain killers and the guidance on how to use them alongside olive oil if they have wax, other than someone saying they examined me but I didn't get any treatment yet I have pain, now like the patient I referred to Bryan, up to now he says the ears are still itching, he is using olive oil and he will be washed out tomorrow. Or if there is medicine which can be used to reduce itching in the ear, they should be given to us so that we are sure that we have tackled the problems of ears because you told us that if a person has itching in the ear, leave him or without wax, so shall we leave the person to use sticks because we have no where else to reffer them, I request Andrew to make that improvement, that's what I think and also my colleagues that I work with. Thank you so muck Bryan"
Supportive environment	Quality assurance - reprimand	NA	NA	NA	NA	Facilitator	This isn't good practice. I'm dissapointed. We need to be diligent and will have to maybe redo training.
Supportive environment	Communication and information - logistics and Planning	NA	NA	NA	NA	CHW	"You should give the condolences to Dorothy, because Edward says he is not supposed to do that. "
Supportive environment	Communication and information - giving information	Communication and information - acknowledgement	NA	NA	NA	Facilitator	 OK I'll write a case  this weekend and have it ready by next week
Quality assurance	Communication and information - giving information	Communication and information - logistics and planning	NA	NA	NA	CHW	"Doctor the child had wounds on both ears with a hearing loss in the left ear. Her ear drum is normal, but it's only the outer part on both ears. She is coming with her  parents on Tuesday."
Supportive environment	Communication and information - making a request	Supportive Environment - thanks	Supportive environment - greetings	NA	NA	CHW	"Thank you Andrew. Greatings my to you all, my suggestion is that we need additional cases like malaria, cough, diarrhea because this diseases are common in our area and they are the most which disturb our children and also adults. Thank  you so much"
Quality assurance	Communication and information - giving opinion	NA	NA	NA	NA	CHW	"Luke, you're saying we are so quiet today yet we sent lots of messages yesterday? Mister today most of us spend the day at our places of worship. Not all of us are moslems."
Quality assurance	Communication and information - requesting information	Supportive environment - greetings	Supportive environment - encouragement and praise	Supportive environment - religion	NA	Peer supervisor	"Greetings members, thank you for today's work, those who have started your weekend and to those who are going for prayers tomorrow, may God make things easy for you. I want to know, if I find a patient who has a hole on the ear, I don't know whether it's the one called ""proculia"" when the hole is swollen but when there is no pain, and if you touch it or press it, nothing comes out, what can we do for that person, I need clarification about that issue."
Supportive environment	Communication and information - acknowledgement	Supportive Environment - Encouragement and praise	Supportive Environment - thanks	Supportive environment - greetings	Supportive environment - religion	Peer supervisor	" Doctor, almost all of us have received the data. We would like to appreciate you for fulfilling your promises. May God repay you. Thanks so much and your team including Catherine and Bryan. We thank them because they take up the responsibility in your absence.Thank you so much and good night. May tomorrow be a good one too."
Communication and Information	Quality assurance - outreach work	Supportive environment - greetings	NA	NA	NA	Peer supervisor	" Good morning friends, how do you see if we go like in churches, and among the people neighbouring our villages we work from and we teach them about ear diseases?"
Supportive environment	Quality assurance - patient management	Communication and information - making a request	Communication and information - giving information	Supportive environment - greetings	Supportive environment - encouragement and praise	CHW	"Greetings my fellow VHTs, , I congratulate all those who have just concluded the fasting, I want our esteemed supervisors to give us a good program, because I have my patients and I need to visit them with the supervisors, like Namugga Lydia and Kasaga Lawrence, this boy needs to be reviewed. He has itching in the ear, when I looked into the ear I saw the eardrum is red, so I want to work on him with our supervisors, Bryan, Catherine if you are available, I request you to give me a program such that we can work on it. Today I managed to send a message, I have a network problem"
Communication and Information	Supportive environment - religion	NA	NA	NA	NA	Facilitator	Eid Mubarak
Supportive environment	Communication and information - giving opinion	Supportive environment - thanks	NA	NA	NA	CHW	"Thanks for sharing but for us who produce we are facing a lot of problems. We mothers are suffering so much, to produce such people who are heartless, and yet they fear to die. "
Quality assurance	Communication and information - giving opinion	NA	NA	NA	NA	CHW	"And it's not rumor mongering. I am an adult and a parent so I don't do that. I wanted to let my friends know the mistake we had done like you have heard Isabella say she's one of them. So for you who knows it all after giving your advice, I had to inform my colleagues who didn't know. Just change that because it's not rumour mongering and use a word that's more respectful. My regards to you sir."
Communication and Information	Supportive Environment - Encouragement and praise	Quality assurance - record keeping	Communication and information - giving opinion	Supportive environment - greetings	NA	Peer supervisor	"Greetings everyone, well-done and thanks for responding to the questions, I encourage everyone to love the work we do, but the most important thing that shows that we are working is to bring the forms in the box, our bosses checked in the box yesterday but they didn't find any form, so I encourage you to bring the forms, if you can't manage to  bring the forms and there is someone who is coming to Seeta now like those who stay together in Kavule you can all give to Isabella or Edward to take the forms in the box and you save your time, please let's keep working hard, nice weekend."
Quality assurance	Communication and information - evidence	Supportive environment - mutual learning	Communication and information - giving information	NA	NA	Peer supervisor	"What you see in the photo is a  small ball (found in a bicycle bearing) which was in Mrs Wujja's ear after washing her ear. She said it has been there since she was young when she was at school. She said that she was not hearing well but now she can hear, I examined her after. She hears but she still has pain"
Supportive environment	Communication and Information - Logistics and Planning	Supportive environment - encouragement and praise	NA	NA	NA	CHW	Gordon please go to someone who has pain the ear.
Quality assurance	Communication and information - training	NA	NA	NA	NA	Facilitator	"He says if there's no difference after one week, he refers the boy to a specialist in a bigger hospital before it worsens."
Communication and Information	Supportive environment - apology	Communication and information - giving information	Supportive environment - greetings	NA	NA	CHW	 Greetings to you all. I apologize because today we are at Kasangati for T.B issues. They selected SLF leaders from each subcounty and also covered our transport so it's where I am currently. However I will be there for anything that takes place including tomorrow's program. I spoke to our supervisor Edward but I will also come and talk to you Dorothy.
Communication and Information	Quality assurance - record keeping	Communication and information - giving opinion	NA	NA	NA	Facilitator	We talked about the idea of creating a list of your houses and marking when you visit them how many people are in the households and how many you examined. That way you can be more organised and make sure you don't miss anyone off.
Supportive environment	Quality assurance - patient management	Communication and information - giving information	NA	NA	NA	CHW	"Concerning X's issue, I spoke to him yesterday and he told me he had headache. When I asked if he had any problems with his ears, his reply was no. He said they're totally fine."
Supportive environment	Communication and information - giving information	Supportive Environment - thanks	NA	NA	NA	CHW	"Thank you VHTs who have shared the videos, my phone had got a problem, I have just watched the the videos after fixing it, thank you so much."
Communication and Information	Quality assurance - outreach work	Supportive environment - encouragement and praise	NA	NA	NA	Facilitator	"That's great Edward. Ideas could be mosques, churches. Other people to inform are  LC1 chair persons, owners of popular shops at trading centers, nursery schools or Primary schools"
Communication and Information	Quality assurance - patient management	Supportive environment - thanks	NA	NA	NA	Peer supervisor	 Thanks Dr Andrew I will be there and do it.
Communication and Information	Quality assurance - referral	Communication and information - logistics and planning	NA	NA	NA	Facilitator	Karl I have arranged an audiological review for your two patients. I will send you details of the appointment . it will be in Kampala and they will have to cover their own transport there however I will pay for their assessment so this will be free. After the assessment has been done they will assess for suitability for a hearing aide
Supportive environment	Communication and information - requesting information	Supportive environment - greetings	NA	NA	NA	CHW	"Greetings healthworker Bryan. Now, there was a patient here that was referred to Omni Med, she has ear pain and it is when water comes out from the ear, they came here and they said you were not at the organisation so we don’t know what to do. "
Supportive environment	Communication and information - acknowledgement	Supportive environment - thanks	Supportive environment - religion	Supportive environment - greetings	NA	Peer supervisor	 I have been charging  but now I have seen my data thank you so much  God bless you good night.
Quality assurance	Communication and information - giving information	Supportive Environment - thanks	NA	NA	NA	CHW	"Thanks very much Bryan. That patient - we lost someone, they are related to Gordons mother. So I went there but didn't find her there. So I referred her to Francesca. So I will ask Francesca if she went there when the lady came back from burial "
Supportive environment	Communication and information - logistics and planning	Supportive environment - encouragement and praise	NA	NA	NA	Facilitator	Hi VHTs thanks for your hard work. Please let Bryan or Catherine know about any problems you have or bring up any cases or patients you wish them to see at the meeting this week. Also remember to drop off reports at the health center. Bryan and Catherine will collect these each Monday. Thanks for everything you are doing. I look forward to seeing you all in April
Supportive environment	Communication and information - giving information	Supportive Environment - thanks	Supportive environment - greetings	Supportive environment - religion	NA	CHW	"How are you my fellow VHTs once again, I would like yo thank all of you who have been sending prayers to me about the child, thank you so much God have heard your prayers, the girl is feeling better now, she has been taken to school to do her exams."
Supportive environment	Communication and information - acknowledgement	NA	NA	NA	NA	Facilitator	Thanks Matthew
Supportive environment	Communication and information - giving information	Supportive Environment - thanks	Supportive environment - moral support	Supportive environment - greetings	NA	CHW	"Greetings VHTs, these days I was not online, my phone had a problem, I have just got help from Andrew, it was not bringing messages, but I thank everyone for your hard work, and all those  who replied to the questions plus our representatives, Bryan, Catherine, James and our two supervisors. I also wish a quick recovery to Isabella, I pray for you such that you make it on that day, have a nice day. Am your VHT, Matthew"
Supportive environment	Communication and information - requesting information	NA	NA	NA	NA	CHW	Oliver how much should we put as your condolance as we are finalising this. 
Quality assurance	Supportive Environment - Greetings	Communication and information - logistics and planning	NA	NA	NA	Facilitator	Hi Edward and Dorothy. I hope you are ok Dorothy - we missed you this week. I hope your relative is ok. Please can you confirm which VHTs you have been on home visits with this month of June?
Supportive environment	Quality assurance - health education	Communication and information - logistics and planning	Supportive Environment - thanks	Supportive environment - religion	Supportive environment - greetings	Peer supervisor	"Good morning VHTs. Thanks for the work you are doing. I thank Andrew for caring for us and the care that you are showing for us. The training you promised us from Dr Simon who is coming from Mbarara and those who are coming on 29th. I request all those who have patients to be seen to inform them so they can be reviewed on that day. Thanks so much supervisor. May god reward you in everything. For caring for us in every way. May god provide you for everything you put your hand in. One more thing I call my upon my fellow VHTs to teach the patients very well. When we talk about oil we don't mean the oil for cars, because someone asked me whether they said can it be any oil e.g. cars, bodas. So the person said I have some oil in my jerry can at home. So I asked them which kind of oil and they said that for bodas. So the patient was wondering if we should use that one. So I told them do not put that in the ear. I told them, we put another kind of oil and we are the only ones to have it and give you directions about how to use it. The one you are talking about can bring harm to the ear. It is not meant for the ear, it is meant for automobiles. I request all the VHTs to inform the people. Tell them exactly what type of oil to use. I wish you a good day but as a reminder we have a meeting at 2pm at the HC today. I request all who have heard to inform a friend. "
Quality assurance	Communication and information - giving information	Communication and information - making a request	NA	NA	NA	CHW	Dr. was just here and was looking at what we did on Sunday. There are some patients who Edward gave antibiotics but he was not supposed to. He has told me to ask you to get that medicine from them and he will have to look after it in Makata. However we discovered that patient was sick. X's child. Now there is also a lady. We need to get antibiotics from her as her ears were normal after examination. The forms show the patient was normal but Edward distributed antibiotics nonetheless. Please bring them back for others. 
Supportive environment	Communication and information - clarifying information	NA	NA	NA	NA	CHW	"Hey Luke, Dorothy is the one who told me about  meeting tomorrow but I didn't hear the announcement. I also heard Mr. Karl saying that announcement was made sometime back but Matthew saw it late. I am not sure about what's going on now but Nalubwama, Bryan or Catherine can clarify for us. Let's wait, we shall hear from them so we know. If you see Nalubwama physically, she can as well as tell you."
Supportive environment	Communication and Information - Logistics and Planning	Supportive environment - moral support	Supportive environment - encouragement and praise	NA	NA	CHW	"Another thing. I repeat what Oliver said. The people who received the equipment - for me I got it, Dorothy got it. If you have any issues just let me or Dorothy know so we can work together as those people in Makata are doing. I wish you well I just want us to work together. "
Quality assurance	Communication and Information - Logistics and Planning	Communication and information - giving information	Communication and information - acknowledgement	Supportive environment - greetings	NA	CHW	" Greetings my fellow VHTs, Edward I heard you informing the VHTs who need to go on a home visit with you from Thursday to Saturday to let you know in advance,  I sent you a message but I didn't get a reply since this phone was not working on the internet, I went to Mukono where they had to repair. I had informed you that on Friday at 12:00pm we meet because I will be reviewing my patients. I don't know may be your phone also had a problem and that's why I didn't get your feedback."
Quality assurance	Communication and information - giving information	Communication and information - requesting information	NA	NA	NA	CHW	Luke did you get any message from Gordon. He is saying his phone has a problem. It is like the messages are not coming. Since morning hes not got a message. 
Supportive environment	Communication and information - giving opinion	NA	NA	NA	NA	Peer supervisor	Those are our people!!!
Quality assurance	Supportive environment - mutual learning	Quality assurance - patient management	Supportive Environment - praise	Communication and information - making a request	NA	Peer supervisor	" Thank you for today's work fellow members. There's a patient who just came by the hospital and says hd has a problem with the left ear. There's some hearing loss but if he places something like a phone near it, he's able to hear properly. And when he removes it, he loses his hearing again. What should I do for that patient? I've examined both ears and there's nothing like wax or anything. Please advise me on what to tell him so he goes home satisfied."
Supportive environment	Communication and information - giving information	Supportive environment - religion	Supportive environment - greetings	NA	NA	Peer supervisor	"Good morning fellows. I don't know if you have heard about Francesca's condition. I just heard about it too this morning and I was asking Gordon if he knows what happened next but he hasn't replied yet. I called Francesca directly and she said she was really badly off yesterday but she will be fine. However, on their way to the health centre they got an accident and she had to go there again this morning for treatment. She says she will be fine though and we should continue praying for her."
Quality assurance	Communication and information - clarifying information	NA	NA	NA	NA	Facilitator	If you don't have a treatment  kit yet it is because either a. In the tests you needed extra assesment or b. On home visits you have not made correct decisions or recorded things poorly. We will continue to assist you but we want to make sure things are done properly as this is a very important role.
Communication and Information	Supportive Environment - Greetings	NA	NA	NA	NA	Health Worker	Good night. 
