Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message	
Communication and information - giving information	Supportive environment - encouragement and praise	NA	NA	NA			Facilitator	Matthew - this is the VHT group chat - not the case chat. Please put your answer in the case group. 
Communication and information - giving information	NA	NA	NA	NA			Facilitator	 I am sorry Francesca. I only just heard all this now.
Communication and Information - Logistics and Planning	Communication and Information - Logistics and Planning	Supportive environment - thanks	NA	NA			CHW	"Thanks for reminding us Dorothy to follow next week's program. Next week's program covers about three days that is Tuesday, Wednesday and Friday of Simon. I think those are the days we need to follow mostly to ensure we fulfill that program. Thank you."
Communication and information - giving information	NA	NA	NA	NA			Peer supervisor	I have not heard from her. I don’t know what is wrong.
Supportive environment - religion	NA	NA	NA	NA			CHW	Nice  good  Friday  to  all  vhts.
Supportive environment - moral support	NA	NA	NA	NA			Health Worker	I have a client with pus
Communication and information - giving information	NA	NA	NA	NA			Peer supervisor	"Sorry I had forgotten, I know we have some VHTs who have issues with their phones at the moment so I request whoever has received this audio message to inform a friend in case you meet such that we can all be aware."
Supportive Environment - Thanks	NA	NA	NA	NA			CHW	Welcome back Catherine and Andrew
Communication and information - giving opinion	Communication and information - clarifying information	Supportive environment - greetings	Supportive environment - thanks	NA			CHW	"Isabella thanks for the message and for encouraging us when our people fall sick. I welcome you back from prayers and I wish you well. Thanks for understanding what Luke is insinuating. Let him advise us because we are now confused.I don't know the right thing to do. I thought this is where we get to know from in case our fellows get problems or ourselves. But he's always telling people they're using the wrong group. If he knows better, let him call for a meeting and clarify for us on how to use these phones. Good night and send greetings to my people. It's me Nora."
Communication and Information - Logistics and Planning	Communication and information - giving opinion	NA	NA	NA			CHW	"Dear supperviiser Dorothy, lam sorry to inform you that tomorrow l won't be able to attend vhts' meeting due to the fact that tomorrow lam too committed. But still my vote goes to you to speak on the behalf of we vhts on eleventh July two thausand ninteen."
Quality assurance - record keeping	NA	NA	NA	NA			Facilitator	Qiana I've left all the treatment kit at your house. We drove past but you were not in
Supportive Environment - Encouragement and praise	Supportive environment - encouragement and praise	NA	NA	NA			Facilitator	Thank you Harriet. It is an honour to work with the VHTs. We have a great team.
Supportive environment - religion	Supportive environment - religion	NA	NA	NA			CHW	Thanks Isabella. Keep praying for me. 
Communication and Information - Logistics and Planning	Communication and information - making a request	NA	NA	NA			Facilitator	Also Francesca please inform the lady with hearing loss who we saw on the home visit that we have booked her a specialist hearing assessment in Kampala at 1pm on Wednesday. Catherine and I can transport her and we will be leaving makata at 9.45am
Supportive Environment - Encouragement and praise	NA	NA	NA	NA			CHW	"I thank all the vhts who have responded to send videos concerning  how to mix ors with water and how you can give that solution  to achild with dehydration,"
Communication and information - giving information	Supportive environment - encouragement and praise	NA	NA	NA			CHW	"VHTs, I encourage you to read all messages that you receive. And now Qiana, there's a message up there that says they won't be working today from Andrew. I therefore encourage you to read each message you receive."
Supportive Environment - Encouragement and praise	NA	NA	NA	NA			CHW	" Thank you all for the work u have done including Andrew, Catherine, Bryan, Oliver and Gordon"
Supportive Environment - Thanks	NA	NA	NA	NA			Facilitator	Thanks Matthew
Supportive Environment - Thanks	Supportive environment - greetings	NA	NA	NA			Facilitator	Hi just a polite and friendly reminder to keep messages poliet and friendly! Thanks you and hope you are all having a good weekend
Supportive environment - moral support	Supportive environment - moral support	Supportive environment - greetings	NA	NA			CHW	Greeting Nora. How is the baby? Have you seen she no longer wants to eat? You have to give the baby a lot of drink and juice. You give the baby good food which can heal the body. Give her all that and force her to eat. She will be ok. It might be a problem with her appetite. But she will be fine. 
Communication and Information - Logistics and Planning	Quality assurance - patient management	Supportive environment - encouragement and praise	Supportive environment - greetings	NA			Peer supervisor	"Good morning VHTs thanks for the work you have been doing thank you fro replying to the question. I encourage you to follow those instructions so you don’t make any more mistakes as you are filling the forms. We need to be very careful while filling them. Please keep following up the patients you are working on because if you don;t they will get worried. Also please go back to the books that were given to us because we are still receiving more patients and the other thing is we need to first finish on working on all the other patients we have seen before getting new ones. That will make your work easier unless the patients are waiting to see the specialists. That is all I have to say to you but thank you for the work you are doing, I know it is not easy. Have a good day. "
Communication and Information - Logistics and Planning	Communication and information - making a request	NA	NA	NA			Facilitator	"Ahhh... So sorry Rachael.  Can you ask them to come back Monday as suggested by Bryan and Catherine ? Please can anyone else who needs patients reviewing, equipment restocking or new consent forms let Bryan and Catherine know so they can drop them to you on Monday"
Supportive Environment - Encouragement and praise	Supportive environment - religion	NA	NA	NA			CHW	"Thank you fellow VHTs for everything you did for me, after losing my mum on 21st. Thank you so much. Help me thank Dr Andrew on my behalf because he also did something for me even though he was leaving. Keep up with that good heart and may God be with you."
Supportive Environment - Thanks	NA	NA	NA	NA			Peer supervisor	I wish you all a good Sunday. Good night. 
Communication and information - giving information	Supportive environment - greetings	NA	NA	NA			Facilitator	Hi vhts. I hope you are all well! I was just wondering if you'd like some new cases in addition to the ear cases? Which other topics do you encounter in your daily work which you would like to maybe learn more about ?
Communication and Information - Logistics and Planning	Quality assurance - record keeping	Communication and information - giving opinion	Supportive environment - greetings	NA			Peer supervisor	"Greetings everyone, well-done and thanks for responding to the questions, I encourage everyone to love the work we do, but the most important thing that shows that we are working is to bring the forms in the box, our bosses checked in the box yesterday but they didn't find any form, so I encourage you to bring the forms, if you can't manage to  bring the forms and there is someone who is coming to Seeta now like those who stay together in Kavule you can all give to Isabella or Edward to take the forms in the box and you save your time, please let's keep working hard, nice weekend."
Supportive Environment - Encouragement and praise	Supportive environment - encouragement and praise	Supportive environment - greetings	Supportive environment - religion	NA			Peer supervisor	"Good morning Qiana and thanks for the work you're doing. Doctor appreciated all your work and how great you're doing it with care. We ask you to keep it up because you were among the best. Thank you so much and may God reward you. Have a good day.  Greetings VHTs and thanks for the work you're doing. Now, there's a lady in Makata who went to Seeta but I'm not sure who she found there because she was referred to us to treat her and give her a form. Doctor told us not to see any new patients without working on those we saw on Sunday.  Greetings Francesca. I am not getting that patient but since you know doctor told us not to see any new patients before we are done with the ones we have"
Communication and Information - Logistics and Planning	Communication and information - logistics and planning	Supportive environment - greetings	NA	NA			CHW	"I greet you all Mr. Matthew and the rest of the group. I am requesting you clarify about tomorrows programme. I must have heard it wrongly. Do we all need to be at the health centre? Dorothy, Edward, Bryan please let us know. "
Supportive Environment - Encouragement and praise	Communication and information - acknowledgement	NA	NA	NA			CHW	I have read all the messages. I thank all the VHTs. I thank the VHTs for serving the country. I am very happy. I want to thank again people who came for burial. The work you are doing. 
Supportive Environment - Encouragement and praise	Supportive environment - encouragement and praise	NA	NA	NA			CHW	"Well done Edward, I heard about your program moving in the community as we do our work, are we going to do it collectively as we gather people village to village as we used to do or we go on LCs like that of Kirijja Butooke, or Kavule,"
Supportive Environment - Encouragement and praise	Supportive environment - greetings	Supportive environment - encouragement and praise	Communication and information - giving information	NA			CHW	"Well done fellow VHTs. Those from places of worship, I welcome you back and safe journey to those who will be going tomorrow. What I don't want that most of you use is speed and commanding. We joined this but there are those who have nothing to do and those who do have what to do. One will not go around announcing. They know how they do their stuff. You need to go slow. You've turned it into a song. When you move around working in the communities, people will see you and they will come to you. Don't think treating ears is the first thing we have had to do. We have treated lots of diseases and sensitized people on a lot of things. I feel like we have started fighting each other which implies we have got nothing to do. Talking a lot doesn't equate to hard work. Go slow and stop pointing out people's mistakes. May be they didn't intend to do it or meant to say something else. You have changed and have gone so far. This is like the 8th training since we were enrolled as VHTs. We have been with Isabella for sometime but have never got any finger pointing. Why is the pressure so much on this? Please change and don't say anything if you got nothing to say."
Communication and information - training	NA	NA	NA	NA			Facilitator	 Edward this was the image from X yesterday
Communication and information - giving information	Communication and information - clarifying information	NA	NA	NA			Facilitator	Sorry. I do not have access to the car today. So I am going to have to drop things off at the health centre tomorrow morning. I am very sorry about this.
Communication and Information - Logistics and Planning	Supportive environment - moral support	Supportive environment - encouragement and praise	Supportive Environment - thanks	Supportive environment - greetings			Peer supervisor	"How are you today all VHTs - thank you for the work you've been doing all this week. We haven't yet finished! Thank you so much. I want to inform you that Nora sent me information - she lost her elder. Burial is today at 10pm, since they are Muslims. We might not be able to all go, but who eve is available please try go at 10pm. For those who will not manage to go; I pray you be with her in heart. Send her condolence messages. Thanks so much have a nice day. "
Supportive Environment - Encouragement and praise	NA	NA	NA	NA			Facilitator	Greetings VHTs. I hope you all had a good weekend.
Communication and information - acknowledgement	NA	NA	NA	NA			Peer supervisor	 I have some come for them if possible
Communication and information - giving information	Supportive environment - moral support	NA	NA	NA			Facilitator	Still in my prayers Gordon. Please mobilise those who we have said need to be seen by her on that date. Preferably she will only see patients that VHTs have already seen and NOT first time reviews. If you think a patient needs to be seen by her then you should have reviewed them first and recorded the abnormality. She will be there from 8.30am to 4pm.
Supportive Environment - Thanks	Communication and information - giving information	NA	NA	NA			CHW	Thanks Luke and also Catherine for the good work. I am now on WhatsApp just I have been sick these days.
Supportive Environment - Thanks	NA	NA	NA	NA			Facilitator	Thanks
Communication and Information - Logistics and Planning	Quality assurance - outreach work	NA	NA	NA			CHW	That lady in the photo is helping us drop off the sheets at school 
Communication and information - making a request	NA	NA	NA	NA			CHW	"Oliver you told us that you have a problem with your eyes and that you are unable to read at night but now you are telling us that you have just read the message, are you lying to us or you are telling us the truth?"
Supportive Environment - Thanks	NA	NA	NA	NA			Facilitator	Learning how to use WhatsApp.
Quality assurance - patient management	Communication and information - requesting information	NA	NA	NA			Facilitator	Mrs. Francesca - did you go on your second home visit at Mrs. Xs place? The lady you gave olive oil to?
Communication and information - Evidence	NA	NA	NA	NA			Facilitator	This patient was given antibiotics inappropriately.
Supportive environment - moral support	NA	NA	NA	NA			CHW	"You should give the condolences to Dorothy, because Edward says he is not supposed to do that. "
Quality assurance - patient management	Communication and information - giving information	Supportive environment - greetings	NA	NA			CHW	"Good morning Luke, I have one lady that I want to dry mopping on. I will also be there at 4pm so we can get tissue at James' place so we can do the dry mopping, see how her ears are etc. I gave her olive oil for 5 days. Now I want to do the washout. "
Communication and information - requesting information	NA	NA	NA	NA			Peer supervisor	What about the two patients - do you know anything about them? 
Quality assurance - reprimand	Supportive environment - greetings	Supportive Environment - thanks	NA	NA			Peer supervisor	"Greetings, my fellow VHTs I am just reminding all those who have a programme of going to Mulago to keep time so they don't miss it. They have to keep time not to destroy this programme as it just the beginning. Since they are the first people going they have to keep time, because there will be others going. I want this message to reach them so they don't dissapoint and miss this chance. Thank you. "
Communication and information - acknowledgement	NA	NA	NA	NA			CHW	Thank you too. 
Supportive Environment - Thanks	Supportive Environment - thanks	Supportive environment - greetings	Supportive environment - religion	NA			CHW	"How has your day been fellow health workers? Thanks for today's work. I welcome back my supervisor Dorothy from the home visit. It went well and we did the work successfully. Thanks for your commitment and love for people and your job. Keep it up! So my fellow health workers, if anyone is ready to be accompanied our supervisors are available. They are simple and approachable so you just have to call them and let them know of the time. They also love their job. Thanks so much but supervisor Dorothy, welcome back and hope you reached home safely. May God be with you. Good night."
Supportive environment - religion	Supportive environment - religion	Supportive environment - greetings	NA	NA			CHW	Greetings my dear Qiana. Those news are really bad and sad but  may God strengthen you. It's really bad how heartless people are!  God gives and takes so May His name be glorified.
Communication and information - clarifying information	Communication and information - making a request	Supportive environment - apology	Supportive environment - greetings	Supportive environment - thanks			Peer supervisor	"I welcome back VHTs in the meeting, and I thank you for attending. But I want to inform those who were not here, that I want you to accept what we suggested. Because we aren’t going to have any other meeting. We don't have time. But we have sent you messages about your other VHTs. If you get that message, please just accept and take as it is. We request you to do as they told you. Such that they can do the way they explain to you. I will be happy when you do the way we suggested. We are sorry we did it in that way but we don't have time. Also the date which was given to us , the 11th is the day we will have the celebration and they gave us our invite. So on the other side, work on the issue with Edward. I want you to have a good night. "
Supportive environment - apology	Communication and information - logistics and planning	Supportive environment - religion	Supportive environment - greetings	NA			CHW	"Greetings VHTs, praise the Lord, I want to apologize to you that I will not be able yo be there on the day that I was given on Wednesday 3rd of July because am still in Mulago and I hope to return back home on Thursday. As you know here in the hospital they do a lot of tests, so they will assess me for the next three days. I request if possible we schedule my meeting on Friday. Thank you so much."
Communication and information - giving information	NA	NA	NA	NA			Peer supervisor	By the time you sent the message I'd already got home. 
Quality assurance - patient management	Supportive environment - encouragement and praise	NA	NA	NA			CHW	Gordon please go to someone who has pain the ear.
Quality assurance - patient management	NA	NA	NA	NA			CHW	"Patricia what were you telling me? I was rushing to go to work, because my bosses badly needed me but you can repeat it for me this evening."
Communication and Information - Logistics and Planning	Quality assurance - patient management	NA	NA	NA			CHW	"Isabella where are you? Are you back home? I am requesting for your help. I've examined X whom we worked on because Doctor has been asking about her but I hadn't got a feed back yet. I've examined her but her ear canal developed about six wounds. It's like I've seen a hole in the other ear. In order to give Doctor the right information, I request you come and help me. If possible I check as you take a photo. If you're there reply to me so I know what to do. Thanks."
Supportive Environment - Thanks	NA	NA	NA	NA			Facilitator	Good morning 
Supportive environment - moral support	NA	NA	NA	NA			Facilitator	He has forgiven you Luke. 
Supportive Environment - Encouragement and praise	NA	NA	NA	NA			Facilitator	Has been a busy day. Took some pateitbs to Kampala for hearing assessments.
Communication and information - giving information	Supportive environment - religion	Supportive environment - greetings	Supportive environment - thanks	Supportive environment - moral support			CHW	"Welcome back VHTs. From the meeting. Thanks for your time and all those who didn't come today who were ill - sorry, May god heal you. There is noone else other than God. He is the only one who can help us. I want to thank you for all the suggestions we had today, but our friends who were not here I heard our supervisor said they should accept or agree with them. So we should do it the way our supevisor told us. everything will be ok."
Supportive environment - moral support	NA	NA	NA	NA			Peer supervisor	" Dr Andrew, thanks for the Airtime you gave us."
Quality assurance - patient management	Communication and information - logistics and planning	NA	NA	NA			CHW	"I have got the information as you told Francesca, but am asking about the other child they had referred to Mulago, is he also supposed to go to Mulago on Wednesday?"
Communication and information - giving information	Communication and information - giving information	Supportive Environment - thanks	Supportive environment - encouragement and praise	NA			CHW	"My sister Isabella, sorry for whatever you are going through, it is the same with me here. My daughter was brought back, I may not tell you the expenses we used here but I will tell you when we meet. Thank you Isabella, Dorothy and Mrs Namutebi, I know you are always there for me whenever I have a problem. I love you all."
Communication and information - giving information	Communication and information - giving information	Supportive environment - greetings	NA	NA			CHW	" Greetings Bryan, as you  know my problem of network, I was passing here this morning and Mr Karl gave me the message, but am going somewhere today so I will delay. I have also failed to get in touch with you. Am sorry I will not be there today may be next week. The network is still poor"
Communication and information - giving information	NA	NA	NA	NA			Peer supervisor	 Send us an Audio to let us know what you want .
Communication and information - giving information	NA	NA	NA	NA			Facilitator	Karl and Qiana .. Is everything OK? We have not heard from you both...
Supportive Environment - Encouragement and praise	NA	NA	NA	NA			Facilitator	Gebaleko Dorothy
Supportive Environment - Thanks	Supportive environment - thanks	NA	NA	NA			Facilitator	Thanks for reminding people Edward. I will inspect the reports next week once I am back.
Communication and Information - Logistics and Planning	NA	NA	NA	NA			Facilitator	New data is on your phones vhts
Communication and information - Evidence	NA	NA	NA	NA			Facilitator	Very good video Edward ! I liked how you correctly measured 2 glasses of water. I also liked how you mixed it! Very good work. You can even use these videos to show people in the community what they need to do.
Supportive environment - moral support	Quality assurance - patient management	Supportive environment - religion	Supportive environment - greetings	NA			Facilitator	"Greetings dear fellow VHTs. Welcome back from where we have been and may God's name be praised. I thank Bryan and Catherine for the great work you have been doing for us. I also thank Andrew. You're leaving but we shall miss you too but let's pray to God to enable us meet again in December like you have said. VHTs thanks for being smart, you were looking like real health workers. You were all looking good and dressed smartly. Thank you so much. We shall always remember this day. May God bless you and good night."
Quality assurance - patient management	Communication and information - training	Communication and information - giving information	Supportive environment - thanks	Supportive environment - religion			CHW	"Good morning fellow VHTs. Thanks for today's work. Thank God who has kept us. Good morning our bosses Dr Andrew, Bryan, Catherine and Hannah. Thank you for the work you're doing for us. VHTs and our bosses, I would like your advice. In case one day I kill a snake and then after leave it somewhere, and then the insects eat apart of it but again comeback to my house.  In case those insects get in contact with things that I eat,  is it poisonous? Or if they bite me after eating the snake? Does it affect me? What happens exactly? Please advise me because a lot of people in my village may fall prey. That's my question. I request fellow VHTs, Doctor, Bryan, Catherine please tell me because I personally don't know. Thanks so much. Mulungi is sick with malaria and flue but I gave her treatment. May God be with you."
Communication and information - making a request	NA	NA	NA	NA			CHW	"Another thing Luke, I want to know is at Seeta Nazigo how many people were given olive oil and antibiotics because I didn't do well and was not given the equipment so I want to know how many are we in Seeta Nazigo who have the equipment which is enough. "
Quality assurance - record keeping	NA	NA	NA	NA			Peer supervisor	"Another thing is that I will so much need the VHTs of that area, in case we get people who need follow up, we shall shared them with you, because I know most of the people will come from that very area where your households are."
Communication and information - giving information	NA	NA	NA	NA			CHW	"Still on the same issue, because this issue is so important, for us in Buganda we have traditional doctors who treat such an infection which can't be treated by other qualified Doctors, we have diseases which can't even be treated by white doctors  but when you use the traditional medicine you get healed, we have seen this for a long time but for us keep referring to medical doctors (bazungu) but we also have the medicine that heals that problem, it is an illness which sometimes fails to be healed by the qualified Doctors then they end up saying someone's ear has rotten yet it is an illness. That is my second explanation about this issue."
Supportive environment - moral support	NA	NA	NA	NA			Peer supervisor	Good night collegue. 
Communication and Information - Logistics and Planning	Communication and information - acknowledgement	NA	NA	NA			CHW	"Doctor Andrew we have heard the information about meeting tomorrow at 2pm but I would like to inform our supervisor Dorothy that the people she told me to follow up and do the washout, I did but didn't see a patient called X up to now."
Supportive Environment - Encouragement and praise	Supportive environment - encouragement and praise	NA	NA	NA			CHW	"Hello my VHTs, Respect for all of the work you are doing. I hope you are all well. "
Supportive environment - moral support	Communication and information - giving information	Supportive environment - greetings	NA	NA			CHW	"Greetings VHTs, I ask for forgiveness, Bryan and Catherine please inform Andrew for me, I have got a problem at the last minute, we have lost our grandparent who was in kibuli, he's moslem as you know moslem so the burial is today in Nama. Forgive me, I have failed."
Communication and information - giving information	NA	NA	NA	NA			Facilitator	Is the patient ok?
Communication and information - giving information	NA	NA	NA	NA			Facilitator	I will miss you all 
Communication and Information - Logistics and Planning	NA	NA	NA	NA			CHW	"Edward, I made the announcement because we were with Dorothy in Seeta Nazigo. We told them the issue and also about the dates of 4th and 5th."
