Strict score	Loose score	C&I rank	C&I score	SE rank	SE score	Q rank	Q score	Sender Role	Message
14	14	1	39	0	-3	0	28	Facilitator	Keep up the good work. There are a lot of people in Seeta Nazigo and Makata who need your help
16	16	1	18	0	2	0	0	Facilitator	Well done Qiana and Edward
16	16	1	19	0	-2	0	5	Facilitator	Great work Luke 
-38	16	2	22	0	11	1	5	CHW	"Edward, concerning that issue, we should use this week for announcing and get a reply. I took initiative and announced in our church. I haven't gone to others though. I announced and told them what's going on but they didn't give me a reply. Some of them went to the VHTs near them and were worked on but others haven't. Let's announce again and see how it goes."
17	17	1	19	0	1	0	1	CHW	"Welcome back all my fellow VHTs who were in the field, thanks for the work you did, all those who didn't manage to come but were with us in our hearts,  thanks a lot, the weather was good, I request all those who didn't manage that next time it would be better if we are all together, but thank you for letting us know earlier thank you so much"
17	17	1	18	0	1	0	0	Peer supervisor	Greetings all my friends who I work with - I thank you for the work you do for our people. I thank all those who managed to come to my burial yesterday. Thank you so much. All those who didn’t come I know you were together in thoughts. Thank you so much who called me on phone. Thank you Andrew I thank you - thank you so much Sir for knowing us and escorting me in that burial. I pray aGod to bless you. 
17	17	1	22	0	4	0	1	Facilitator	I will miss you all 
18	18	1	20	0	1	0	1	CHW	Greetings VHTs thank you for last weeks work. I want to thank you for all your prayers because they helped. 
19	19	1	21	0	1	0	1	CHW	Well done VHTs 
20	20	1	50	0	12	0	18	CHW	"Well done fellow VHTs of seeta nazigo makata group. You're so quiet today and no one is sending any messages. I send my regards to you all, Francesca, Matthew and others. I also extend my condolences to you Gordon even though I was unable to attend the burial because I was tied up at the moment. I really send my regards to you all Nora, Oliver, Harriet, Dorothy. Keep up the good work even though our boss is not around. We should continue being strong, and sending messages on the internet at least once day. Thanks so much."
-63	21	0	21	2	24	1	18	Facilitator	Also do the following VHTs have plans for these patients or updates?: 1. Karl - 52 yo woman seen on 12th February. Given olive oil for wash out. Has she had her washout?
22	22	1	27	0	6	0	-1	Facilitator	Good morning 
-64	22	2	36	1	7	0	21	Facilitator	" Thank you Dorothy for your clarification, but just a reminder, the VHT CASE GROUP is meant for learning. You will be responding to questions which will be put in the VHT case group. Even if you go in a household and you get a patient who needs referral or any special attention please let it still be shared in your groups of Seeta Nazigo and Makata group or Kirijja Butooke / Kavule group. Thank you "
23	23	1	89	0	33	0	33	Peer supervisor	"Greetings Harriet. Sorry about that problem but as soon as I heard it, I might have got it wrong but my guess was you have an allergy. Personally when I take a walk in coldness especially in the morning, my whole body itches and sometimes my tongue swells. But again you have said your pinna hurts and you experience itching. I think if you feel that way again, you should go for a check up immediately. You never know what kind of disease it could be. I suggest you see someone when you're still feeling like that.  You may be having an infection that worsens in such conditions.That's what I think dear."
23	23	0	-1	1	25	0	3	CHW	" I have received the information, I think the patient will come at Omni Med."
24	24	1	33	0	7	0	2	CHW	" I send greetings to Mr Matthew, sorry about the leg, the money is too much for treatment, let's pray and see whether we can work together and see what to do."
-144	24	0	60	1	52	2	32	Facilitator	Friday I will go with Oliver to do a repeat washout of the lady we treated today and to see the girl with the discharging ear at 1pm.
-114	24	2	58	1	11	0	45	Facilitator	"How are you VHTs, thanks for the work you are doing. I want to ask Isabella and Harriet, Andrew is asking if it is possible for you to be around on Tuesday as he has writen his message about this. He is not there on Wednesday as he leaves that evening and will not be here for a few weeks. So that is why he wants to see you all before he leaves. He was asking whether you can be there on Tuesday? So that he can leave on Wednsday knowing he has left everything good. Please reply - thank you. "
25	25	2	4	1	22	0	1	CHW	Mr. Luke we also saw that announcement about tomorrow but we thought you know about it since you stay nearer. Let them make it clear because they also said we go with all our equipments. Have a great time. It's me VHT Johnson Matthew Makata.
-25	25	2	25	1	0	0	0	CHW	"Another thing. I repeat what Oliver said. The people who received the equipment - for me I got it, Dorothy got it. If you have any issues just let me or Dorothy know so we can work together as those people in Makata are doing. I wish you well I just want us to work together. "
25	25	0	11	0	13	1	49	Facilitator	This patient was given antibiotics inappropriately.
25	25	1	27	0	2	0	0	Facilitator	Well done Nora!! Great video. This was excellent.
26	26	1	24	0	-2	0	0	Peer supervisor	We are ok - what about you?
-35	27	2	32	1	-1	0	4	CHW	"How are you my fellow VHTs once again, I would like yo thank all of you who have been sending prayers to me about the child, thank you so much God have heard your prayers, the girl is feeling better now, she has been taken to school to do her exams."
27	27	1	42	0	14	0	1	CHW	I am saying Catherine thanks for the work you have done. Showing us these photos. We had forgotten. Thanks you. These videos will help us on our home visit. God bless you. Have a nice weekend. May god grant you. 
27	27	0	38	1	67	0	2	Facilitator	"See Francesca, Matthew and Dorothy tomorrow at 2pm at Seeta Nazigo. Please bring your camera. For Francesca and Matthew we will be leaving the organisation at 1.45pm if you would like a lift to the health centre."
27	27	1	30	0	2	0	1	Facilitator	Totally correct. Thanks Rachael
-33	27	2	19	1	11	0	3	CHW	"I also greet you all, thanks for the work, am asking something small, as we are going to have our celebrations and because there are some visitors who are going to be invited, as VHTs, what will be our dressing code, shall we be given new uniform to show that we are different or everyone will dress as he or she wishes, thank you."
27	27	1	47	0	17	0	3	Facilitator	How is your day?
29	29	1	39	0	6	0	4	CHW	"I great you again my fellow VHTs, sorry to all those who are sick, like Isabella, Qiana Kirijja Butooke, let's pray for you that God heals you because he is the owner if everything, nice day am your fellow VHT Johnson, have a nice day also to our bosses Bryan and Catherine thank you for all the work you have done for this week, let's see what next for the coming week, also our Andrew, may God protect you. Thank you so much for all you are doing for us, am VHT Johnson Matthew in Makata"
29	29	1	42	0	1	0	12	Peer supervisor	" Greatings members, thank you for all you are doing to see that we develop our community in Health, now there is a problem which may not be good to our coordinators, the way people are responding to questions is not encouraging. Some VHTs are not replying to cases for example like yesterday, I encourage you to respond to the cases and answer the question the way you understand it, because even if you are not right still in the evening we get the right answer, I also encourage you that whenever we get the answers let's go back to ours notes and remind ourselves about the issues we are learning about. I have understood that there is a book which will be put to show the way people respond to cases, so I don't know whether it will be showing the Marks and our performance, so I advise you all to be active. Another thing I am not sure about is whether Qiana receives her phone back but to those who have their phones, please let us use them to share ideas so that we can take this project ahead also to make our representatives happy, I know they were so upset yesterday. I wish you a good day."
29	29	0	20	1	48	0	-1	CHW	Harriet I won't be in position to make it because I have a church meeting 
30	30	0	4	1	32	0	-2	Peer supervisor	What about the two patients - do you know anything about them? 
-98	30	1	20	2	44	0	34	Facilitator	 Hi vhts. I am at the health center in seeta nazigo but perhaps there are no patients for me to review ? Also I have some slightly bad news. The staff at Omni Med have told me that this afternoon they need to use the car since their car is broken. I will therefore not have a car after 2pm so will not be able to drive to kirujja butoke today.  I am sorry for the disruption Qiana and Jane. I am able to see patients around makata this afternoon instead and can go with you tomorrow at 2pm and then Oliver and Luke at 4pm.
30	30	1	33	0	1	0	2	Facilitator	Hi Dorothy. Im so sorry I will try make the burial. 
-36	30	2	29	1	4	0	3	CHW	Dr Andrew we made an announcement and the outreach is tomorrow for examining ears and immunising tetanus. Have a good night.
30	30	1	30	0	-1	0	1	CHW	Hello VHTs I hope you are all good. Respect for all your work. 
31	31	1	38	0	3	0	4	CHW	"Thank you fellow VHTs for everything you did for me, after losing my mum on 21st. Thank you so much. Help me thank Dr Andrew on my behalf because he also did something for me even though he was leaving. Keep up with that good heart and may God be with you."
31	31	1	39	0	7	0	1	CHW	"I thank all the vhts who have responded to send videos concerning  how to mix ors with water and how you can give that solution  to achild with dehydration,"
31	31	1	25	2	7	0	1	Facilitator	"You are most welcome Edward, thanks for the hard work and all the regular responses. Let's all keep the good work and learn from each other."
31	31	0	1	1	21	2	11	CHW	That lady in the photo is helping us drop off the sheets at school 
31	31	0	16	1	60	0	13	Facilitator	Thanks. Yes. Thursday 9am I will be at Seeta Nazigo HC III from 9am - 11.30am to see patients.
31	33	1	39	2	1	0	7	CHW	Harriet - I want to inform you about our patient. She says the ears are hearing well and she is able to hear. It is so encouraging. 
-33	33	2	25	1	8	0	0	CHW	"Well-done my fellow VHTs, when you don't hear about me please it is because the phone has no power and also the time I take it to the charger, sometimes the power is off, also as you see the weather, it is difficult to charge on solar since the sunshine is little. So I had left the phone on charge on Monday yet the power was off during that time, those are my words Catherine and Bryan thanks for the work you are doing and to all the health workers wherever you are, thanks for the job you are doing for the nation. God bless you."
-38	34	2	31	1	5	0	2	CHW	"Greetings Edward, about that issue as I said, its better to work together as team, if there are VHTs who will not be able to come this side due to distance, we who are nearer  can work as team like those around Seeta, Kavule and Makata. Unlike those who are so far like Qiana and Jane. Thank you"
-49	35	0	7	1	8	2	34	CHW	"Mr Matthew we worked on X, we worked on him with Harriet and Dr Andrew, tell him to come and we washout his ear, he said he knows my place, we want him to come"
-53	35	2	39	1	5	0	9	CHW	" Greetings my fellow VHTs, Edward I heard you informing the VHTs who need to go on a home visit with you from Thursday to Saturday to let you know in advance,  I sent you a message but I didn't get a reply since this phone was not working on the internet, I went to Mukono where they had to repair. I had informed you that on Friday at 12:00pm we meet because I will be reviewing my patients. I don't know may be your phone also had a problem and that's why I didn't get your feedback."
36	36	0	-2	1	32	0	-2	Peer supervisor	 I have some come for them if possible
36	36	0	-5	1	39	0	8	CHW	Luke have you heard that you and I will be visiting people in our respective areas? If you have then let me know.
-54	38	2	26	0	8	1	20	Facilitator	Matthew - this is the VHT group chat - not the case chat. Please put your answer in the case group. 
38	38	1	57	0	-2	0	21	CHW	Gordon may God strengthen you because He is above all.
-92	38	2	65	1	0	0	27	CHW	" How are you my fellow VHTs, that's the girls I told you about who had wounds around her ear, so after giving her treatment and washouts in the ear, she is now okay as you see, she was at the health centre for the second visit, now she is fine and she went back to Katente."
39	39	1	33	2	6	0	0	CHW	Sorry for not replying to the questions. I had no power on my phone and the power bank was dead. 
40	40	2	19	1	36	0	15	CHW	"Morning Bryan, thanks for your work, I was at the organization, they told me you went to Mukono, so I was requesting if you can leave the power bank with the Security guard because I may not find you there when I come."
41	41	0	11	1	47	0	-5	Facilitator	Message about upcoming celebration workshop
-109	41	2	70	1	5	0	34	Peer supervisor	"Good morning Qiana and thanks for the work you're doing. Doctor appreciated all your work and how great you're doing it with care. We ask you to keep it up because you were among the best. Thank you so much and may God reward you. Have a good day.  Greetings VHTs and thanks for the work you're doing. Now, there's a lady in Makata who went to Seeta but I'm not sure who she found there because she was referred to us to treat her and give her a form. Doctor told us not to see any new patients without working on those we saw on Sunday.  Greetings Francesca. I am not getting that patient but since you know doctor told us not to see any new patients before we are done with the ones we have"
-49	45	2	34	1	13	0	2	Peer supervisor	" Greetings members, thank for the work you are doing, I wanted to inform you that today I managed to work with Qiana in her area, I request anyone else who has a arranged a day to tell me such that we prepare in time and see how we can follow up those people to save time, thank you so much"
45	45	1	74	0	25	0	4	CHW	"Greetings VHTs, I want to inform you that our Health centre sent me on a training, so I was not around since morning am just about to return from the training, I was not able to be available today, but I had informed Edward about it, even as I speak, am outside the room where we are having the training. I will be with you tomorrow."
46	46	1	31	0	-5	2	10	CHW	"Thanks Dorothy, our supervisor for correcting us about how we are supposed to do things. Even sending uncessary messages are not good. "
26	48	1	58	0	21	2	11	CHW	"My fellow VHTs, especially of Kirijja Butoke, do your work of house visits and also take note of the people in each household. You know that I appreciate the work and please keep up. "
48	48	1	46	0	15	2	17	CHW	"I also greet you all, those who have started  the weekend and to the seventh day people I also great you. The truth is if that hole doesn't pain the person, there is no problem, but if it pains the patient, then you have to refer the patient to Catherine and Bryan at Omni Med and if it is swollen still you have to take it to the specialist or Catherine and Bryan, that is my suggestion."
-50	48	2	42	1	7	0	1	CHW	"Thanks everyone for the condolence messages, my grand daughter has been buried today in Najjembe, they brought her yesterday, we had failed to raise the money because it was too much, 12millions . sorry that I didn't inform everyone, I know that people have problems, thanks to everyone who shared with that moment with me, I used this group of Seeta because I didn't want to use the other group of Andrew. I request you the we keep working together even when Andrew is not around, Catherine sorry we did not manage to meet today as we planned, I didn't want to inconvenience you with your work I know you had some things to do but we can meet tomorrow, thanks to everyone. I remain your fellow VHT, the one you know"
48	48	0	20	2	29	1	39	CHW	"Edward, who sent you this video of a person who burnt the child's hands?  Because we want to make a follow up as we the para social workers on children who suffer like this, Edward where did you get it from because it has really affected me."
48	48	1	58	0	6	0	4	CHW	"Greetings all VHTs, I want to say sorry about our VHT who lost a relative. Qiana. And all her family members. I got the information late - I didn't have power on my phone. I thank all those who went to the burial. Neighbours, VHTs Catherine, Bryan, Andrew the ones we were with yesterday evening. The ones we were with yesterday - we helped to show people the work we do with photos and replying to questions in turn about how we have been following up patients at treating them. I thank you all. Qiana - please let god be with you. It is so sad. It is god who gives, and god who takes. Let the person, rest in peace. Good night to all VHTs. I am VHT Matthew in Makata. "
49	49	0	28	1	79	0	2	Facilitator	"I have home visit slots available Monday, Tuesday and Thursday at 2pm. I would like one of those to be Qiana and Jane and one to be Oliver and Luke and one to be Patricia since those 6 don't have treatment kits yet. Please choose a date and I will attend with you"
57	49	0	40	2	-4	1	93	Peer supervisor	Francesca we had no idea he stays in Kavule. Also his main problem was the insect we removed from his ears but he doesn't have any other problem that needs treatment. We referred him to you because we didn't know he comes from Kavule. His form had Gordon's name so we assumed he comes from there. He doesn't have any pain though.
40	50	1	58	2	5	0	13	Facilitator	Pleasure. Thank you for all your work. Catherine told me about all your concenrs and I hope her answer to them helps.  Please let us know though if you still have unanswered questions. We will be happy to assist.
-57	51	2	37	1	17	0	3	CHW	" Greetings Catherine and Bryan, my phone loses my network, am available today and am using Luke's phone, am available today at my place.. It is Isabella"
-50	52	2	41	1	10	0	-1	Facilitator	 Sorry I was unable to see you and Jane today Qiana. We had issues with the car. I can come see you Thursday. Does that work?
53	53	1	62	0	3	0	6	Peer supervisor	Greetings Mr. Matthew and I'm sorry for the pain you're going through. Good thing you're getting treatment. Let's pray for you to feel better so that you're able to do your work like before.
54	54	1	55	0	-3	0	4	CHW	"Mr Luke sorry about the death, its God who give and takes, praise the name of the Lord, it is so bad to lose a mother, so bad my dear."
55	55	0	7	0	7	1	69	Facilitator	On this form we have no tick for what ear is the problem and no potential diagnosis.
-116	56	2	84	1	2	0	30	CHW	"Greetings VHTs welcome back from the churches, that child I have sent on that video is called X, she has wounds around the whole ear I think even the inside the wounds here in Buganda are called ""Amaddu"""
-77	57	2	38	0	10	1	29	Facilitator	"Also please follow up the patients we discussed at the end of yesterday's meeting to make sure they are OK and have a clear plan. If you have anyone with pus, perforation, otitis externa, cholesteatoma etc. Please write in this group . Bryan and Catherine will come review , take a picture of their ear and help decide if they need antibiotic. Thank you for your effort."
59	59	0	27	1	88	0	2	Facilitator	 If you have any more patients who need to be seen we will be here until 3pm
