Strict score	Loose score	C&I rank	C&I score	SE rank	SE score	Q rank	Q score	Sender Role	Message
-98	66	0	16	2	70	1	12	CHW	"Greetings Edward, me too my idea is not so different from my fellow friend's views, give him olive oil on the er with wax and then some pain killers for pain. Thank you for your work."
-100	66	2	77	0	17	1	6	CHW	"Now I have a problem. There is a patient I have here. She is 80 yo lady, I gave her ear drops which she has been using. Today is the 5th day. I have washed the ear, but I have seen the wax is near the canal. It is so hard you can see it without putting the otoscope, so even if you put tissue papers they can't go in. I request for one of our helpers to come help me. "
67	67	1	87	0	13	0	7	Peer supervisor	Those who can't write just use audios. 
-102	72	2	81	0	15	1	6	Facilitator	 Francesca told me that the mother was waiting for me to take her to Mukono HC IV on last Friday at 2pm. I don't know may be she is still expecting a lift to the Health Centre. I was thinking of passing by her house today.
75	75	2	16	1	71	0	12	Facilitator	Thank you Karl . This is excellent advocacy work and great citizenship.
78	78	2	27	1	60	0	9	Facilitator	VHTs we are very greatful for all your replies this week. All of you have given very good views. Please continue to share ideas and help people with hearing loss in your communities in the ways you have mentioned. We are done with the questions for this week. Have a good night. 
86	86	1	75	2	17	0	6	Facilitator	" That is good, but what if the patients are many?"
87	87	1	75	2	18	0	6	CHW	"2b) Inside the ear, I see pus and a hole. Regards to you all. It's me Nora."
87	87	1	75	2	18	0	6	CHW	It is common among children because they are unable to acquire anything they need unlike adults. Children only depend on their parents. They are also weak and ignorant of what's important for them. May God be with you.
-99	87	2	75	1	18	0	6	CHW	"That's where I beg Andrew that most villages did not get VHTs but they have ear problems, what are we going to do? We kindly ask for a response and we see what next because there are many villages which have no VHTs but they have ear problems. What are we going to do because they have started approaching us since they know we were trained. "
-69	89	1	15	2	64	3	10	Facilitator	Patricia - well done! Great video. All of the steps you did were correct. Fantastic. Please feel free to show these videos or share them with other community members on your home visits. They are great.
107	107	1	78	2	37	0	8	Facilitator	"Francesca one of the boxes. You have said both ears are abnormal, but you were meant to tick one box. You have not indiciated issues with the ear or ear canal to show how they are. You have indicated well about the hearing test and thanks. The last part of the paper can't be seen. "
40	112	1	76	3	29	2	7	CHW	Harriet tomorrow we should go back to see Mrs. X. Some of them are given appointments but need to be followed up to make sure we don't loose them. Please pass by my home and we will go see. 
114	114	1	79	2	44	0	9	CHW	"Well done health workers. Symptoms like not urinating, passing out stool all those times and sunken eyes are all very dangerous when a child has diarrhoea. We immediately mix ORS and ask the mother to give it to the child until they get to the health centre. I refer them to the health centre because I don't have treatment for the condition."
118	118	1	80	2	47	0	9	Facilitator	Good point. The cause of CSOM is due to poor hygiene sometimes so encourage parents to keep their childrens ears clean and dry.
130	130	1	82	2	59	0	11	Facilitator	 Good morning VHTs. What are the causes of hearing loss??
135	135	1	83	2	63	0	11	Facilitator	"Thank you Harriet, so it means the government is the one responsible to provide that medicine, but because of the situation people end up buying the medicine?"
136	136	1	81	2	66	0	11	Facilitator	"Thank you very much Harriet for sharing that video - all of the points you made very well. The way they are supposed to be, but in the beginning you didn't tell us about washing the hands. All in all it was nice - thanks. "
137	137	1	82	2	66	0	11	CHW	" Greetings fellow VHTs and well done! That child has a pre-auricular sinus. As a VHT, I would advise them to get pain killers and also refer them to specialists. Thank you."
139	139	1	84	2	66	0	11	CHW	"Regards to you my fellow VHTs. My name is Nora. This is my reply to that question. When I look down the pinna, I see a hole."
139	139	1	84	2	66	0	11	CHW	" Greetings fellow health workers and thanks for the work you're doing. When I check Enoch and the MUAC tape indicates he is severely malnourished, I advise the mother to take him to the health centre immediately since his condition is critical. The advice I can give the mother regarding the sister is to take good care of her by giving her body building food, energy giving food, drinks, milk and millet porridge since she ain't that badly off. All she needs is proper care. That's what I have to say today."
139	139	1	84	2	66	0	11	Facilitator	Good morning VHTs. Hope you are ok. Todays question concerning malaria is as follows: The RDT shows she has malaria. How do you treat malaria in this girl? 
139	139	1	84	2	66	0	11	Facilitator	"Thanks all of you who responded about todays photo. We have given you the right answer above. The hole is called preauricular sinus, someone can have it without a problem. But if it is swollen the patient might need antibiotics or a referral such that a specialist can remove the pus or a surgery such that it doesn't think pus again or any other problem. "
139	139	1	84	2	66	0	11	CHW	"Greetings fellow VHTs. I can see a swelling on the pinna. Such conditions become serious if you don't attend to them early. If I see such a patient, I refer them to a specialist because they need surgery and as soon as possible."
139	139	1	84	2	66	0	11	Facilitator	"Thanks VHTs - the correct answer is that because Enochs measurement using the tape showed 'Red' you should refer him urgently to the health centre for thorough assessment. Similarly, for his sister; Refer. Any child with swollen feet on both sides should be referred to the health centre. "
139	139	1	84	2	66	0	11	Peer supervisor	Greetings fellow health workers. I think what causes malaria is the female anopheles mosquito.
139	139	1	84	2	66	0	11	CHW	"Greetings fellow VHTs. Thank God who has enabled us to wake up alive. This is my answer to today's question. If they come to me after getting checked and confirming they have malaria, I give them coartem three tablets in the morning then more three after 12 hours. That is done for three days. In those three days I accompany those tablets with one panadol twice a day because malaria causes pain in the body and headache. Panadol therefore acts as a pain killer that relieves pain in this case but coartem is the real medication for malaria. I also advise them to take a lot of drinks like passion juice, ORS and others. Some think drinks refer to alcohol so they go to bars and buy it claiming the doctor told them to do so and buy alcohol for themselves! They have to be soft drinks so clariy this for those drunk fathers!"
139	139	1	84	2	66	0	11	CHW	"Well-done all my fellow VHTs, this phone sometimes disturbs me with network, and I had no batery, when I look at that patient, I think that is chloestoma I just refer the patient to the ENT without delay, nice time."
139	139	1	84	2	66	0	11	CHW	"Greetings fellow health workers. This is my answer to today's question. Diarrhoea is a condition when a child releases more stool than they are meant to in a day. The stool is watery unlike the normal solid one and is released frequently. It is also the reason the child loses energy in their body. Diarrhoea is caused by many things including typhoid, eating dirty things like food contaminated by houseflies, uncovered left over food, dirty mangoes and sugarcanes picked on the way and not washing hands after going to the toilet. People in my community understand diarrhoea that it is when a child releases waste frequently, loses body energy and have watery stool."
139	139	1	84	2	66	0	11	CHW	I also greet you all but I don't have MUAC tape. I am like Isabella. I don't know where I will find it. Was it something in South Africa where they isolate people. I don’t know why some of us didn’t get it. 
139	139	1	84	2	66	0	11	CHW	"Greetings fellow health workers and thanks for the work you're doing. This is my answer to today's question. The way I see that child, I have no treatment for her condition as a VHT. I am not a qualified health worker therefore can't be permitted to treat her. The advice I can give to the mother is to take the child to a big health centre immediately. I can go ahead and escort her as well because her child's health is in danger at that moment. That's my reply to today's question."
139	139	1	84	2	66	0	11	Facilitator	Thank you very much those who have answered todays question. When you look in the ear you can see the ear drum has a perforation and there is pus. The disease the boy has is called CSOM. 
139	139	1	84	2	66	0	11	CHW	"Greetings fellow health workers. I am sorry I haven't been online but God who is above all has enabled me to be on now. I would like to thank Andrew for adding me back. About the child, I can tell they have malaria even after the mother explaining to me their symptoms by referring them to a big health centre for further examination. There are about two types of malaria I can think of. It could be the one transmitted by mosquitoes or typhoid. If it is malaria, I request for the results from the health centre for confirmation. I know at seeta nazigo health centre they treat it. As long as the patient comes suspecting it could be malaria, I just refer them for blood check up. I also advise them to avoid the following. Tall grass around the house, stagnant water and have to ensure the child sleeps under a treated mosquito net. If it's typhoid, I still refer them and advise them to boil drinking water, use clean utensils and cover their food. Have a good day."
139	139	1	84	2	66	0	11	CHW	" Greetings to you all VHTs. All the symptoms show she is dehydrated therefore I give her first aid of ORS. I can mix the ORS and give it to Patricia's mother. I then advise her to give it to Patricia as she takes her to the health centre. When she gets to the health centre, I may have written the referral form for the nurses to see what the problem is. If not, I escort them and explain it to the nurses so they can put the child on drip immediately."
-161	139	2	84	1	66	0	11	Facilitator	Thanks for your participation VHTs. Keep the answers coming like Herbet said. We will provide the correct answers in the morning.
139	139	1	84	2	66	0	11	CHW	"Good morning fellow members. Thanks for today and yesterday's work. We discovered yesterday's that Annette has itching which could be as a result of a skin infection. Antibiotic drops cannot work for her in this case but if she insists, I refer her to a doctor in order not to upset her. The doctor can give her panadols to ease the itching and deworming tablets because it's possible she may be having worms causing the problem. Another thing I can do not to upset her is to send her to specialists and if they discover something, they can let her know and I get her the medicine."
