Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message
Supportive Environment - Thanks	Supportive environment - encouragement and praise	Supportive Environment - thanks	Supportive environment - greetings	Supportive environment - religion	NA	CHW	"How has your day been fellow health workers? Thanks for today's work. I welcome back my supervisor Dorothy from the home visit. It went well and we did the work successfully. Thanks for your commitment and love for people and your job. Keep it up! So my fellow health workers, if anyone is ready to be accompanied our supervisors are available. They are simple and approachable so you just have to call them and let them know of the time. They also love their job. Thanks so much but supervisor Dorothy, welcome back and hope you reached home safely. May God be with you. Good night."
Communication and information - giving information	Communication and information - making a request	Supportive environment - encouragement and praise	Supportive environment - thanks	NA	NA	Facilitator	Please let us know here a. Which cases you are interested in and b. Why you think that topic is important. Thank you very much again for your work.
Communication and information - acknowledgement	Communication and information - requesting information	NA	NA	NA	NA	CHW	Oliver how much should we put as your condolance as we are finalising this. 
Supportive environment - apology	Supportive environment - moral support	NA	NA	NA	NA	Peer supervisor	Sorry our collegue.
Communication and Information - Logistics and Planning	Communication and Information - clarifying information	NA	NA	NA	NA	Peer supervisor	If they just need a washout where are you? 
Supportive Environment - Thanks	Supportive environment - religion	Supportive environment - thanks	Communication and information - acknowledgement	NA	NA	CHW	" Thanks for appreciating Dr Andrew. I am happy about it. Let's pray so that people don't forget. Another thing, for God to enable us do well so they're healed and to get the right results from examination. Amen."
Supportive environment - apology	Supportive environment - moral support	Supportive environment - religion	Supportive environment - apology	NA	NA	CHW	"Sorry Nora - we were with you yesterday at the health centre, and didn't even know about your problem. I am so sorry some of us won't make burial but let us be together when we meet. We will always be with you. Let god make you firm. We got the information late, Sorry about that. "
Communication and information - giving opinion	Supportive Environment - Greetings	NA	NA	NA	NA	Peer supervisor	We are fine. How are Love?
Communication and Information - Logistics and Planning	Communication and information - giving information	NA	NA	NA	NA	Facilitator	Equipment required by VHTs as follows; Luke olive oil; Jane syringe; Isabella syringe; Dorothy needle and consent; Karl olive oil; Francesca consent and olive oil; Nora consent olive oil needles ; Qiana consent olive oil needle household number sheet; Patricia tissue and olive oil  ; Edward olive oil and consent form 
Communication and Information - Logistics and Planning	Communication and information - giving information	Supportive environment - apology	NA	NA	NA	Facilitator	 Sorry I was unable to see you and Jane today Qiana. We had issues with the car. I can come see you Thursday. Does that work?
Communication and information - clarifying information	Communication and information - giving information	NA	NA	NA	NA	CHW	Isabella the other man is called X he was from Nakosi
Communication and information - giving information	Communication and Information - Logistics and Planning	Supportive environment - greetings	NA	NA	NA	CHW	Dr Andrew we made an announcement and the outreach is tomorrow for examining ears and immunising tetanus. Have a good night.
Communication and Information - Logistics and Planning	Supportive environment - apology	Supportive environment - greetings	Communication and information - logistics and planning	NA	NA	Facilitator	"Hi How are you VHTs, we have to meet you today at 2pm, we might be together for 30 minutes. Sorry we had some problems - we are a bit late but we will come. "
Supportive environment - moral support	Communication and information - training	Quality assurance - patient management	NA	NA	NA	Facilitator	Dorothy. The lady you referred called Ursula. I agree she has a bad right ear. However the history said the hearing from whispered voice test was normal. In the right ear it was not. She is unable to hear. This lady had a very poor right ear and will need referring to a specialist at mulago.
Communication and information - giving information	Communication and Information - Logistics and Planning	Supportive environment - greetings	Supportive environment - encouragement and praise	NA	NA	CHW	"The patients have already arrived at the Health Centre, good morning my fellow VHTs, those who gave patients please mobilize them to come at the Health Centre in time because as I speak its already 9am and some of them are here with me."
Communication and information - clarifying information	Supportive environment - religion	Communication and information - giving information	NA	NA	NA	Peer supervisor	 God bless you for what you have done. Dates are  4th or 5th of March. 
Communication and Information - Logistics and Planning	Communication and information - making a request	NA	NA	NA	NA	CHW	" Bryan you had promised to get me more material to use, as I told you am out of stock since we worked on many people yesterday, we were sharing them so my box is out of medicine, I don't know if I can get them tomorrow because I have patients to wash the ears, I may not manage to come at the organization, I will be happy if you do something for me."
Communication and information - making a request	Communication and information - giving information	Communication and information - logistics and planning	NA	NA	NA	CHW	"Doctor the child had wounds on both ears with a hearing loss in the left ear. Her ear drum is normal, but it's only the outer part on both ears. She is coming with her  parents on Tuesday."
Communication and Information - Logistics and Planning	Supportive Environment - Encouragement and praise	Supportive environment - greetings	Supportive Environment - thanks	NA	NA	Peer supervisor	"Good morning Oliver, thanks for the work you are doing, today I was requesting if you can go and join the group in Kirijja Butooke with Qiana and Jane, it will help you more because you will observe many things since many people are going to be there, I request you to go there today, you may ask Qiana or Jane for the details  about where they are going to be, you can use WhatsApp to contact them because I want you to be there."
Communication and Information - Logistics and Planning	Supportive environment - apology	Communication and information - logistics and planning	NA	NA	NA	Facilitator	"I'm very sorry . I might be delayed today. The omnimed staff crashed the car yesterday and now it is delayed while being repaired. I'm trying my best to meet Qiana and Jane at 2pm in kirjja butoke, Luke and Oliver at 4pm in seeta nazigo and Isabella and Harriet at 5pm in makata but this may now be delayed."
Communication and Information - Logistics and Planning	Communication and information - giving information	NA	NA	NA	NA	Facilitator	Luke come collect them Monday 10am. Now it’s a weekend the office is closed. 
Communication and information - giving information	Quality assurance - patient management	Supportive environment - mutual learning	Communication and information - making a request	Supportive environment - greetings	NA	CHW	"Greetings to you all VHTs. I have come across one of the inlaws in my household, I have checked her ears there is no pus, but she has tinnitus and itching. What can I do for her? If you hear this audio please let me know what to do. The lady is 22 years old"
Supportive environment - moral support	Communication and information - giving information	Supportive environment - moral support	Communication and information - acknowledgement	Communication and information - clarifying information	NA	CHW	"We have heard the Voice supervisor, sorry about that child's sickness, we have also lost Bennah in our area, we have finished the assessment, we are now with our Doctors making follow up on our patients. Let's pray for the patient, we also wish you well until we meet, am your grandson Matthew, have a nice day"
Communication and information - training	Communication and information - requesting information	Supportive environment - greetings	Supportive environment - encouragement and praise	Supportive environment - religion	NA	Peer supervisor	"Greetings members, thank you for today's work, those who have started your weekend and to those who are going for prayers tomorrow, may God make things easy for you. I want to know, if I find a patient who has a hole on the ear, I don't know whether it's the one called ""proculia"" when the hole is swollen but when there is no pain, and if you touch it or press it, nothing comes out, what can we do for that person, I need clarification about that issue."
Communication and information - making a request	Communication and information - requesting information	Supportive environment - thanks	Supportive environment - greetings	NA	NA	CHW	"Greetings VHTs. Thanks for todays work. Those who went to the churches to do outreach thanks. Dorothy, the messages we sent in this group, what kind of messages do we send? I don't have any patients to see. "
Communication and information - giving opinion	Communication and Information - Logistics and Planning	Supportive environment - moral support	Supportive environment - encouragement and praise	NA	NA	CHW	"Another thing. I repeat what Oliver said. The people who received the equipment - for me I got it, Dorothy got it. If you have any issues just let me or Dorothy know so we can work together as those people in Makata are doing. I wish you well I just want us to work together. "
Communication and information - giving information	Quality assurance - patient management	Communication and information - making a request	Supportive environment - greetings	NA	NA	CHW	" Greetings VHTs, Bryan if you are hearing, the child in the photo above is here at the Health centre and he needs antibiotics and the ears have wounds. I request if you are near you bring me the antibiotics"
Communication and information - giving information	Quality assurance - patient management	Communication and information - making a request	Supportive environment - greetings	NA	NA	CHW	"Greetings VHTs, that girl you see in the photo has pus, and she needs antibiotics. So I don't know which day I can receive the antibiotics such that I can wash out her ear"
Supportive environment - moral support	Supportive environment - Thanks	NA	NA	NA	NA	Peer supervisor	" Dr Andrew, thanks for the Airtime you gave us."
Communication and Information - Logistics and Planning	Supportive Environment - Greetings	NA	NA	NA	NA	CHW	Nice  good  Friday  to  all  vhts.
Quality assurance - patient management	Communication and Information - clarifying information	Supportive Environment - thanks	NA	NA	NA	Peer supervisor	"Thanks Gordon for the news but I suggest you find out everything else and let us know. We may go to see her and find that she's been discharged. If you find out what exactly is going on, please update us. But thanks so much."
Communication and Information - Logistics and Planning	Supportive Environment - Greetings	Supportive environment - thanks	NA	NA	NA	Peer supervisor	Thanks. Dr. How are you there?
Communication and information - clarifying information	Communication and Information - Logistics and Planning	Communication and information - clarifying information	NA	NA	NA	Facilitator	The ones you remove from the books?
Communication and information - giving information	Communication and Information - Logistics and Planning	Communication and information - giving information	NA	NA	NA	Peer supervisor	My battery was also dead. Now I don’t know what to do because I've not seen the patient. If Edward is around he could accompany you. 
Communication and information - requesting information	Communication and information - giving information	NA	NA	NA	NA	Facilitator	Tell him to make sure it is not on aeroplane mode.
Supportive environment - apology	Communication and information - clarifying information	Quality assurance - patient management	NA	NA	NA	CHW	"I didn't give him anything, I just wrote him down his name for remembrance, but I told him to come back on Tuesday when the VHTs have resumed their work   so if he comes I will forward him to you."
Supportive Environment - Thanks	Communication and information - giving information	Supportive environment - greetings	Supportive environment - encouragement and praise	Supportive environment - apology	NA	CHW	Greetings fellow VHTs. Thanks for the work you're doing. I apologize for not answering the question but I'm going to do so. I lost my 23 year old grandson and just got back. Thanks so much and good night.
Communication and information - giving information	Supportive environment - moral support	Communication and information - giving information	Supportive environment - religion	Supportive environment - greetings	NA	CHW	"Now again, I don't know what's going on VHTs. We are getting lots of problems. We are losing and people are falling sick. As Francesca was struggling with her sickness, I was also struggling with my problem over here. My little girl who got a leg injury last time is suffering from malaria. She convulsed and there was no health worker to attend to her. I have spent the whole day at Seeta Nazigo health centre and have just seen the message. Fellow VHTs don't blame me for taking long to sympathise with Francesca but I was attending to my child. Let's continue praying for each other. My regards to you all. It's me Nora."
Supportive Environment - Encouragement and praise	Communication and information - giving information	Supportive environment - moral support	Communication and information - making a request	Supportive environment - greetings	Supportive environment - thanks	Peer supervisor	"Greetings ladies and gentleman, thanks for the work you are doing, I take this opportunity to inform you that one of our fellow VHTs Jane lost her sister, burial is today in Namina at 4pm as I heard, I inform our leaders, Andrew, Catherine and Bryan and our members we work with that our fellow has lost a relative. Whoever will manage to give the condolences, let's get a way of collecting them and also going to attend for the burial those who were told  be met today I request you to be there on time another thing, those who are not meeting Andrew today, I request let us go and attend the burial of our friend, let's be together. Thank you so much."
Communication and information - requesting information	Communication and Information - clarifying information	Communication and information - clarifying information	Supportive environment - greetings	NA	NA	Peer supervisor	"Greetings Nalongo (Isabella), that video touched me so much but it is in Entebbe,  I have a friend in Entebbe who sent it to me so I asked him whether it is a true story. He told me it is true, that lady they had reported her to police on several offenses, but now she was arrested, someone captured her on camera and took the evidence to police now she is in  prison."
Supportive environment - religion	Supportive Environment - Thanks	Supportive environment - religion	NA	NA	NA	CHW	Thanks Isabella. Keep praying for me. 
Communication and information - training	Quality assurance - patient management	Communication and information - making a request	NA	NA	NA	CHW	"That child has a problem with the ear canal. Her ear canal has wounds on the sides and I would like some help like ear drops to apply to her ears. Mr. Bryan or Catherine if you receive this please get back to me because I'll be at the health centre all day. I found her at Mwanyangiri and the health workers who came to seeta Nazigo have ever worked on her. They gave her ear drops and the ear got well but now that she's having cough, it has started developing wounds discharging water but not pus."
Communication and Information - Logistics and Planning	Communication and information - giving information	NA	NA	NA	NA	Facilitator	Unfortunately two have quite severe hearing loss that even a hearing aid can't help. They have a small young child and it will be important for her to spend time with her relatives that are able to speak and hear well so that her speech develops normally
Supportive Environment - Encouragement and praise	Communication and information - giving information	NA	NA	NA	NA	Facilitator	Gordon  thinks his phone has a fault since he hasn't received any messages since morning.
Supportive Environment - Encouragement and praise	Supportive Environment - Greetings	Supportive environment - encouragement and praise	NA	NA	NA	CHW	Hello VHTs I hope you are all good. Respect for all your work. 
Communication and Information - Logistics and Planning	Supportive Environment - Greetings	NA	NA	NA	NA	Health Worker	Good morning how are you all?
Communication and information - acknowledgement	Communication and Information - Logistics and Planning	NA	NA	NA	NA	Facilitator	2pm tomorrow.
Communication and information - clarifying information	Communication and information - giving opinion	NA	NA	NA	NA	CHW	"And it's not rumor mongering. I am an adult and a parent so I don't do that. I wanted to let my friends know the mistake we had done like you have heard Isabella say she's one of them. So for you who knows it all after giving your advice, I had to inform my colleagues who didn't know. Just change that because it's not rumour mongering and use a word that's more respectful. My regards to you sir."
Communication and information - clarifying information	Communication and information - giving information	NA	NA	NA	NA	CHW	"Edward, I made the announcement because we were with Dorothy in Seeta Nazigo. We told them the issue and also about the dates of 4th and 5th."
Communication and Information - Logistics and Planning	Communication and information - giving information	NA	NA	NA	NA	Facilitator	Has been a busy day. Took some pateitbs to Kampala for hearing assessments.
Supportive Environment - Encouragement and praise	Supportive Environment - Thanks	Supportive environment - greetings	NA	NA	NA	CHW	How are you my fellows? Thanks for the work you're doing. I would like to those we were with yesterday at the health centre. I thank Andrew and his team Dr. Simonand Dr. Teresa. Thanks so much Andrew for loving our community and for the heart of giving. I request whatever you offer us to be handled carefully. I would also like to thank other people you work with like Catherine and Bryan. Thank you so much.
Communication and Information - Logistics and Planning	Communication and information - acknowledgement	Supportive environment - thanks	Communication and information - logistics and planning	NA	NA	CHW	"Thans for the message Bryan I got it, am ready, he will get us at 1pm in the centre"
Quality assurance - patient management	Supportive Environment - Encouragement and praise	Communication and Information - Logistics and Planning	Quality assurance - Patient management	Quality assurance - referral	NA	CHW	Thanks for the ear camp you arranged today Dorothy. It would be good to do another one of those camps. Lets also follow up the patients in that area. When Karl reminded me I washed out the patients and we referred one for the ear camp in March with the ENT doctor.
Communication and information - giving information	Quality assurance - patient management	Communication and Information - logistics and planning	Supportive Environment - thanks	Supportive Environment - thanks	Supportive environment - religion	Peer supervisor	"Ladies and Gentleman, thank you for the work you are doing, I thank the members   whom I did the follow up with today, VHT Isabella and Harriet thank for the work you did and for your time, we pray God to keep guiding us and also the condition if our patients to continue being normal thank you so much. Another thing, our patient called X had a hole and when we reviewed again he had some pus, we did a washout but when it needs antibiotics which we didn't have, I request our concerned Coordinators to bring the antibiotics because when he used it at the first time it helped him now it has started again, he was told to use xbeta was so helpful to him, it will be so nice if he gets chance to get the medicine again. Thank you so much."
Communication and information - giving information	Communication and information - making a request	Quality assurance - patient management	NA	NA	NA	CHW	"Isabella where are you? Are you back home? I am requesting for your help. I've examined X whom we worked on because Doctor has been asking about her but I hadn't got a feed back yet. I've examined her but her ear canal developed about six wounds. It's like I've seen a hole in the other ear. In order to give Doctor the right information, I request you come and help me. If possible I check as you take a photo. If you're there reply to me so I know what to do. Thanks."
Communication and information - giving information	Supportive Environment - Thanks	Communication and information - giving information	NA	NA	NA	CHW	"Thanks all my VHTs who were in that camp Kirijja Butooke, Byafula thanks for helping the country, am going back to the hospital tomorrow."
Communication and Information - Logistics and Planning	Communication and Information - clarifying information	NA	NA	NA	NA	Peer supervisor	"Luke I told you those who will be able to there can guide and attend. This annoucnement if that if you have been with your fellows and had any patients, you can also check and ask your fellows what you have seen and see if they agree with you. If the results are the same, that means it is the right thing. I was only saying those who are able to - if you can't attend that is also ok. You cannot see certain problems alone - it is best to be with others. "
Communication and information - giving information	Communication and Information - Logistics and Planning	Communication and information - making a request	Supportive environment - greetings	Supportive Environment - encouragement and praise	NA	CHW	"Morning Bryan, thanks for your work, I was at the organization, they told me you went to Mukono, so I was requesting if you can leave the power bank with the Security guard because I may not find you there when I come."
Communication and information - requesting information	Communication and Information - Logistics and Planning	Quality assurance - patient management	NA	NA	NA	CHW	What we should do is to get the phone numbers of the neighbour in Nakosi to contact him because he is a drunkard. But we will try to follow him up. 
