Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	sixSupervisoryCategory	Sender category	Anonymised message
Communication and information - training	Quality assurance - patient management	Supportive environment - mutual learning	NA	NA	NA	NA	CHW	"Also, if this person is in so much pain with pus coming from the hole I advise they refer them to a doctor who can operate that child. We may think it's a joke yet it's very serious. I am also not sure whether the pus is coming from the ear or the pre-auricular sinus. I am just not sure about that. If it is bad they need to be taken to an ENT surgeon to handle them. Thanks."
Communication and information - logistics and planning	Supportive environment - encouragement and praise	NA	NA	NA	NA	NA	Facilitator	Karl it is good we are hearing from you now but it is important for you to be regular with your replies. You shouldn't wait for your home visit to come online. You should try be on and contactable as much as possible. We were not blaming you we just wanted you to be on the same page as the rest of the VHTs. 
Communication and information - logistics and planning	Quality assurance - patient management	NA	NA	NA	NA	NA	Facilitator	We need to go see him urgently. As in tonight....
Communication and information - logistics and planning	Communication and information - giving information	Supportive environment - encouragement and praise	Supportive enviornment - greetings	NA	NA	NA	Facilitator	"Hi Everyone, welcome to the group. The purpose of this group is the share bi-monthly learning cases basd on the information you have collected on home visits. Catherine will be incharge of releasing the cases. Please respond to each case question each day and ask your fellow VHTs if you have any problems with any of the questions or if you don't understand something. Thank you for your efforts!"
Communication and information - training	Quality assurance - patient management	Communication and information - acknowledgement	NA	NA	NA	NA	Facilitator 	I agree with the suggestion put forward by our dear vhts to invovlve the extended family. Since this child is severe acute malnutrition feeding them more food alone will not work at first. She needs a special diet which can only be done in a hospital. Once she has regained strength then she can resume on a normal diet. However even then when she is returned to the mum someone will have to monitor her as she can easily fall sick again.
Communication and information - training	Communication and information - making a request	Communication and information - acknowledgement	NA	NA	NA	NA	Facilitator	" Ok Dorothy, but according to you, do you think people should buy medicines for thmselves or it is the governments responsibility?"
Quality assurance - patient management	Supportive environment - mutual learning	Communication and information - giving opinion	Supportive environment - Greetings	Supportive environment - Greetings	NA	NA	Peer supervisor	"Greetings fellows. Since the one currently looking after the child has mental issues, there's a big problem. If Francesca said she will accompany them to the health centre, we appreciate it but we need to know their nearest VHT. We also need to know a relative who can get involved in this issue because we may dedicate ourselves to helping them and it becomes something else. We are all different. They may take it the wrong way and say we didn't involve them yet it appears they can no longer handle them. The VHT close to them should deal with their relatives who are not mentally ill to find a solution. In case they get treatment, the VHT has to monitor them to ensure they are being given food, medicine and that correct measurements are taken. This should be done with the help of the relative who should also accompany them to the health centre. That's my opinion."
Supportive environment - mutual learning	Communication and information - training	NA	NA	NA	NA	NA	CHW 	Half cooked milk causes brucella and T.B. You can get T.B if your cattle has it. We all know people infect cattle and vice versa.
Supportive environment - Greetings	Communication and information - clarifying information	NA	NA	NA	NA	NA	CHW 	Andrew what do you mean?
Supportive environment - encouragement and praise	Supportive environment - thanks	Supportive environment - Greetings	NA	NA	NA	NA	CHW	"Good morning fellow VHTs thank you for your answers. Regards to Madam Catherine thank you for helping us, same regards to Dr. Bryan. "
Communication and information - logistics and planning	Supportive environment - greetings	Supportive environment - Thanks	NA	NA	NA	NA	Peer supervisor	Good night too and thanks for today. 
Communication and information - training	Communication and information - logistics and planning	Supportive environment - thanks	NA	NA	NA	NA	CHW	Isabella are you back so that we can go wash the other old ladys ears as we agreed? Because the appointment time is about to reach so please hurry if we are going to reach this woman on time. Thanks so much. 
Supportive environment - mutual learning	Communication and information - training	Supportive environment - Greetings	Communication and information - giving information	NA	NA	NA	CHW	"Greetings fellow VHTs. Thanks for the work and welcome back from the meeting. Sorry I got there when you had already left. I had some commitments and a burial to attend but I had sent my bag. Concerning today's question, this is my reply. If the patient has a hearing loss but the otoscope shows no problem, I think his problem is to do with the inner ear. What I would do since I can't get to the inner ear is to refer him to specialists so they can advise him on what to do. Thank you."
Supportive environment - mutual learning	Communication and information - training	NA	NA	NA	NA	NA	CHW	"What I would like to add on is malaria caused by eating half cooked meat and unboiled milk commonly known as brucella. It is also very dangerous and once one gets it, it may not go well with them."
Quality assurance - patient management	Communication and information - training	NA	NA	NA	NA	NA	Facilitator 	"You give Patricia some oral rehydration solution and you advise her mother to take her to the health center. Patricias mother wants to know what she can do to prevent diahorrea in the other children. 

Question: How do you advise Patricias mother to prevent diahorrea in the other children?"
Supportive environment - mutual learning	Communication and information - training	NA	NA	NA	NA	NA	Facilitator	" Interesting. So you have to encourage people to challenge those who demand money. For example - everyone has a boss. Even the doctor at the health center.. their boss is the incharge, the incharges boss is the DHO... encourage people to know their rights as citizens and to challenge those who abuse power. Get them to take their name and registration number. Then report this to LC1 and HC in-charge in formal writing, keeping a copy for yourself which can be used as evidence."
Communication and information - acknowledgement	Supportive environment - thanks	NA	NA	NA	NA	NA	Facilitator 	Ok Mr. Karl. Thank you. 
Communication and information - logistics and planning	Supportive environment - encouragement and praise	NA	NA	NA	NA	NA	Facilitator 	"Thanks all of you, because all your answers are good. Do the same tomorrow. Good night. "
Communication and information - giving information	Communication and information - clarifying information	NA	NA	NA	NA	NA	Facilitator	"Ok Karl, so it means the government is the one responsible, but it doesn't have that?"
Communication and information - training	Communication and information - requesting information	NA	NA	NA	NA	NA	Facilitator	You will refer to hospital but what if she doesn’t have money?
Supportive environment - apology	Communication and information - training	NA	NA	NA	NA	NA	CHW	"Please forgive me I had forgotten something. Coartem is given to them in the morning, afternoon and evening."
Supportive environment - encouragement and praise	Communication and information - giving information	Supportive environment - encouragement and praise	NA	NA	NA	NA	Facilitator 	Can any VHT use their MUAC tape and demonstrate to others how to use it properly? We can then give you feedback!
Communication and information - training	Quality assurance - patient management	Supportive environment - mutual learning	Supportive environment - Thanks	Supportive environment - greetings	NA	NA	CHW	"Byamukama, thanks for the work you are doing and I send my greetings to you. You have talked about the patient you found Mrs Namusoke who has puss in the ear and her ear drum looks like it has a hole in it. Before you put antibiotic drops, you first washout the ear after that you put the antibiotic drops, am not sure whether you got the kit, but if you haven't got the kit, you have to see Andrew to give it to you so that you can treat that patient."
Supportive environment - encouragement and praise	Communication and information - training	Supportive environment - encouragement and praise	NA	NA	NA	NA	Facilitator	Well done Dorothy and Edward. This is the correct way to fill in the forms. Very good detail
Communication and information - giving opinion	Communication and information - clarifying information	Quality assurance - patient management	NA	NA	NA	NA	Peer supervisor 	I told him to come back to you. So I wrote on his paper to come back to you. Or to Francesca. So that he can let you know about what happened. I wrote in both English and Luganda in order that you can both understand. 
Quality assurance - patient management	Communication and information - training	Supportive environment - Greetings	Supportive environment - Thanks	NA	NA	NA	Peer supervisor 	"Greetings fellow VHTs and thanks for the work. This is my reply to the question. If Miss Annette insists on me giving her antibiotics, I tell her it will bring problems for her since her condition doesn't need them. I tell her I would if she had pus or any other discharge, or had a perforation on the ear drum. The advice I can give her is to go to seeta Nazigo health centre for further examination and treatment. I personally don't have the treatment for it."
Communication and information - acknowledgement	Communication and information - giving information	NA	NA	NA	NA	NA	Peer supervisor 	"Another issue is that, we were informed that in case we find any challenges, we have to meet Bryan and Catherine who are close to you and they will help you in any problem. Bryan and Catherine are close to you, get time and go there. Mr Luke we request you to apologize for Mr Matthew, whether you send him a personal message or in a group and we know the he has got your apology."
Quality assurance - patient management	Communication and information - training	Supportive environment - Thanks	NA	NA	NA	NA	Facilitator 	" Correct. Thanks Dorothy. Most cases usually heal with simple pain relief. If she did develop pus, then you would need to treat with antibiotics and washout."
Communication and information - training	Communication and information - giving information	Quality assurance - patient management	Supportive environment - greetings	NA	NA	NA	CHW	Greetings to you all VHTs. I found a patient called X. The problem she has is that the ear is swollen like you see in the picture and it is painful. She is in so much pain. I would like feedback from Andrew. 
Communication and information - clarifying information	Communication and information - training	NA	NA	NA	NA	NA	Facilitator 	And this is wait a negative RDT looks like if the child does not have malaria
Supportive environment - encouragement and praise	Communication and information - giving information	Supportive environment - Thanks	NA	NA	NA	NA	Facilitator	" Thank you Qiana, but you haven’t answered todays case. "
Communication and information - training	Quality assurance - patient management	Supportive environment - mutual learning	Supportive environment - greetings	Supportive environment - thanks	NA	NA	CHW	"Greetings VHTs. Thanks for the work you're doing. Greetings to our bosses too. According to what our fellow health worker Jovia has found, she says she has got a patient with pus and wounds and needs our help. The way I see that ear, it is swollen and the wounds start right from the pinna and occupy the whole upper part. The part with the pre auricular sinus is deep and there's pus coming from inside. I advise they give her pain killers to feel better which could also dry the wounds. After that they should wash out the pus and then give her antibiotics to apply in her ears. That's what I have to say."
Supportive environment - encouragement and praise	Communication and information - training	Supportive environment - encouragement and praise	Quality assurance - outreach work	Supportive environment - thanks	NA	NA	Facilitator	"Thank you for all your inputs Harriet. You have done excellent work this last few weeks. I like how you are working in pairs with Isabella. It is a good idea and other VHTs might consider going in pairs on their home visit or asking their supervisor (Edward or Dorothy) to accompany them once in a while. In answer to your questions why are women getting disease more than men.... It is unlikely that women are more affected, but women might be more likely to be at home when you do home visits compared to men who might be out. Also women might be more willing to say they have a problem compared to men who many deny any problems. This is a very interesting insight though."
Supportive environment - mutual learning	Communication and information - training	NA	NA	NA	NA	NA	CHW	 It is common amongst children especially those living in rural communities because some parents do not know how to feed children. It is therefore our role as VHTs to teach them how.
Communication and information - acknowledgement	Communication and information - training	NA	NA	NA	NA	NA	Facilitator	"Edward, you are right but we wanted the first part only. Up to the dates. "
Supportive environment - encouragement and praise	Supportive environment - thanks	Supportive environment - encouragement and praise	NA	NA	NA	NA	Facilitator 	"Thank you very much for those who have given answers but I have not heard fom the others. Dorothy, Patricia, Isabella, Matthew, Harriet ne Qiana. But let me hope you are ok we will be happy when we can hear from you. "
Supportive environment - mutual learning	Communication and information - training	NA	NA	NA	NA	NA	CHW	"Since the person got the condition aged 5, it means he had hearing before that. I think an aquired cause of hearing loss could be exposure to loud sounds, overdosing on certain ototoxic medicines, or he might have had trauma to the ear. I then tell them incase they had seen ear specialists earlier on he may not have developed that condition. "
Quality assurance - patient management	Communication and information - making a request	Quality assurance - patient management	NA	NA	NA	NA	CHW	"I needs help, I have found a patient whose ear drum looks red as if there is something like blood in it, that she has been itching the ear with sticks, though she hears has itching in the ear"
Communication and information - logistics and planning	Supportive environment - thanks	Communication and information - logistics and planning	Supportive environment - encouragement and praise	Supportive environment - greetings	NA	NA	Facilitator	Thanks very much those who have given me all your different ideas about todays cases. You have given good ideas indeed. To those who have not managed to give your ideas today we try next time to see that you reply. You are not going to get any more cases up to the 11th of March. Therefore I REQUEST that if there is something you wish to talk about you use the other WhatsApp group. Thank you very much and have a good night. 
Supportive environment - mutual learning	Communication and information - training	Supportive environment - Greetings	Supportive environment - encouragement and praise	NA	NA	NA	CHW	"It's me Harriet. Greetings to you Catherine and well done. If I go to kirujja butoke and come across such a patient, I greet her then introduce myself to her. Once I'm done introducing myself, I ask her if she has any problems with her ears. If she says yes, I ask her if she would want to be examined. If she accepts, I write down her names, name of head of household, age, village and the ear with the problem. After that, I ask if she has any other problem besides ears. If she says no to that, I request her for some water to clean my hands. I then ask her again if I can examine her ears. If she accepts, I carefully take out my otoscope and examine her ears. In case I find her with that problem, I write it down and the particular ear I've found it. When I'm done with that, I check her hearing using the whispered voice test. If I find that her hearing is okay, I explain to her that I'm going to treat the ear with discharge. I then wash, dry the ear and give her antibiotic drops to use for five days, three drops three times a day. After the five days elapse, I go back to follow up. Also since she feels some pain, I encourage her to take some panadol to reduce it. b) I take her history in the book you gave us that looks like a receipt book. It has three papers. The white one, pink and blue. I leave the blue one to confirm that I've worked on her and she can show it to anyone who may happen to have questions. c) I ask if she has any other condition or allergies. Some of them don't know what allergies are but you can explain to them. If they don't have, I go ahead. That's my reply."
Communication and information - clarifying information	Communication and information - giving information	Quality assurance - referral	NA	NA	NA	NA	Facilitator	"She says the boy has got this on both ears, and that he does not feel any pain. But he needs to be assessed. "
Communication and information - acknowledgement	Supportive environment - Thanks	NA	NA	NA	NA	NA	CHW	Thank you very much. 
Communication and information - making a request	Communication and information - clarifying information	NA	NA	NA	NA	NA	CHW	What are you saying Luke?
Supportive environment - mutual learning	Communication and information - training	Supportive environment - Greetings	NA	NA	NA	NA	CHW 	 Greetings fellows. I can tell whether Enoch is malnourished if his skin is wrinkled. Malnourished children also have potty bellies. They also appear weak and tend to be sleepy all the time. That's my reply.
Communication and information - acknowledgement	Supportive environment - thanks	Supportive environment - Religion	NA	NA	NA	NA	CHW	Thank you Catherine for correcting us and letting us know what we have to do. God bless you. 
Communication and information - logistics and planning	Communication and information - giving information	NA	NA	NA	NA	NA	Facilitator 	 We have purchased you all MUAC tapes and will distribute them this week when you come to your interviews.
Communication and information - giving opinion	Communication and information - giving information	NA	NA	NA	NA	NA	Peer supervisor 	Those who can't write just use audios. 
Communication and information - giving information	Communication and information - training	Supportive environment - Greetings	NA	NA	NA	NA	CHW	"Greetings VHTs. About seeing the other 33 year old lady in Kirujja Butoke I saw her and she has a hearing loss in the left ear and it also has pus, even pain, too much pain. The first question - I first ask for permission, then I examine the ear, then I was my hands, then I examine the ear inside and outside. I ask about allergies. If examine and find too much pain and pus I give them pain killers, then after 3 days I get pain killers. Then after washing my hands I examine. Then I write the history. I ask the names of the household head, the age, the date, the sex. After that I fill the remaining parts in the history book. How has the pain been, which ear has the problem. Then I ask about other illnesses. After seeing the outer ear is normal and the ear canal has pus, then after I examine then I write. I give her the form, put one at the health center, I keep one too. I forgot - I also need to get consent too. Part b - I guess I answered that in Part A. I also washout, with iodine and water. I keep washing and dry mopping until there is no pus then I give antibiotics. 3 drops, 3 times a day. 5-7 days."
Communication and information - training	Communication and information - clarifying information	Quality assurance - patient management	Supportive environment - apology	NA	NA	NA	Facilitator 	Hi Harriet. Sorry for the delay in replying. Did you find someone to help you film your video? Did you find out if they were malnourished ?  If you need to advise the mother then tell her to go to the health centre for an assessment by wicliffe
Supportive environment - encouragement and praise	Communication and information - training	Supportive environment - encouragement and praise	NA	NA	NA	NA	Facilitator 	Totally correct Edward. Well done
Communication and information - training	Quality assurance - patient management	Supportive environment - mutual learning	Supportive environment - greetings	NA	NA	NA	CHW	"Greetings fellow VHTs. While on home visits, we encounter some challenges for example here in Makata there is a child whose ear is deformed. The parents don't agree with helping the child yet the child is for the country. Dorothy the supervisor also went there but the parents disagree with correcting it. What do you think we should do about it as VHTs who help people in the community?"
Supportive environment - apology	Communication and information - giving information	NA	NA	NA	NA	NA	CHW 	I have not been around and had no battery
Communication and information - acknowledgement	Supportive environment - thanks	NA	NA	NA	NA	NA	Facilitator	"Ok Gordon, thank you. "
