Prediction	primarySupervisoryCategoryAdaptedFromVuHenrysPaper	secondarySupervisoryCategoryAdaptedFromVuHenrysPaper	tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper	quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper	fifthSupervisoryCategory	Sender category	Anonymised message
Supportive environment	Communication and information - giving information	Supportive environment - encouragement and praise	Supportive environment - greetings	NA	NA	Facilitator	"Hi Everyone, welcome to the group. The purpose of this group is the share bi-monthly learning cases basd on the information you have collected on home visits. Catherine will be incharge of releasing the cases. Please respond to each case question each day and ask your fellow VHTs if you have any problems with any of the questions or if you don't understand something. Thank you for your efforts!"
Communication and information	Supportive environment - greetings	NA	NA	NA	NA	Facilitator	Good doctor. 
Communication and information	Quality assurance - patient management	Communication and information - clarifying information	NA	NA	NA	Facilitator	 Francesca told me that the mother was waiting for me to take her to Mukono HC IV on last Friday at 2pm. I don't know may be she is still expecting a lift to the Health Centre. I was thinking of passing by her house today.
Quality assurance	Communication and information - training	Supportive environment - thanks	NA	NA	NA	Facilitator	Thank you Luke. We have not reached the lower part. You didn't put the sex of the patient. 
Quality assurance	Supportive environment - encouragement and praise	Quality assurance - health education	Supportive environment - thanks	NA	NA	Facilitator	Thanks very much Edward for those views because they are vey good. Continue encouraging pregnant women to go to the health centre like you said. 
Supportive environment	Communication and information - acknowledgement	NA	NA	NA	NA	Facilitator	Thank you very much Isabella. 
Communication and information	Quality assurance - patient management	Supportive environment - mutual learning	NA	NA	NA	Peer supervisor	The medicine that is remaining is just for a day. What can I do for her? She is getting the treatment from Riubaga 
Quality assurance	Communication and information - giving information	Quality assurance - patient management	Communication and information - making a request	Supportive environment - greetings	NA	CHW	"It could be true because she has wounds. Also, this lady called X who had pus from the ears kept complaining of pain but I asked her and she said she no longer feels it. She also said she can at least hear a few words when someone speaks. We shall go back and check on her. Another thing, there's also X. When you look at Monday's program, I would like Andrew to see him as well. Thanks and good night."
Quality assurance	Communication and information - making a request	Quality assurance - patient management	NA	NA	NA	CHW	 Got  a client with little wax but much Itcthing. We need your help.
Quality assurance	Communication and information - giving information	NA	NA	NA	NA	Facilitator	If you have any other questions about this case please let us know.
Quality assurance	Communication and information - training	Supportive environment - Greetings	Supportive environment - Thanks	NA	NA	Peer supervisor	Good morning fellows wherever you're. Thanks for the work you're doing. I can see an ear with a hole in today's photo. People have that hole with no pain at times and from what I see it's not painful. If it was painful the person needs to see doctors. That's my view. The hole is called a sinus.
Quality assurance	Communication and information - clarifying information	NA	NA	NA	NA	CHW	What are you saying Luke?
Quality assurance	Communication and information - giving information	Supportive environment - apology	Supportive environment - Greetings	NA	NA	Facilitator	Hi vhts. I am writing a diahorrea case today as per Harriet's request.  I am so sorry for delaying the case. I've just had a really busy few days. But I will send it to Catherine today and I'll be back in makata on Monday
Communication and information	Supportive environment - mutual learning	NA	NA	NA	NA	CHW	 I would also like to correct Harriet. Brucella is not malaria but a disease of its own just like T.B.
Communication and information	Supportive environment - mutual learning	NA	NA	NA	NA	CHW	It's true. One litre of water equals two cups of water not four.
Communication and information	Quality assurance - patient management	Communication and information - training	NA	NA	NA	Facilitator	"There is no indication for antiobiotics if its itching . only pus, perforation and otitis externa"
