Prediction,primarySupervisoryCategoryAdaptedFromVuHenrysPaper,secondarySupervisoryCategoryAdaptedFromVuHenrysPaper,tertiarySupervisoryCategoryAdaptedFromVuHenrysPaper,quaternarySupervisoryCategoryAdaptedFromVuHenrysPaper,fifthSupervisoryCategory,Sender category,Anonymised message
Supportive environment,Communication and information - training,Supportive environment - Greetings,Supportive environment - Religion,Supportive environment - thanks,NA,CHW,Greetings my friends and thanks for the work you're doing. Welcome back from the training though I wasn't with you but I believe we were together. I thank our bosses for the work they're doing. May God bless them. I have also seen today's question and I won't differ so much from my fellows. First of all I encourage the mother not to be afraid because it happens in children because their bodies are weak. What causes the disease is poor nutrition since most children have low appetite. Balancing their diet is also hard yet they need all kinds of food. I also tell the mother to maintain hygiene and not to pour water in their ears. Also they need to find out and treat any other diseases like malaria and cough because they cause acute otitis media. We know pain killers cure the disease in two days if there's no other disease. May God be with you. Good night.
Quality assurance,Communication and information - training,Supportive environment - Greetings,Supportive environment - thanks,NA,NA,CHW,"Greetings fellow VHTs , our bosses and well done. This is my reply to the question of the three year old child with diarrhoea. Diarrhoea refers to passing out abnormal stool. Much as someone is supposed to pass out stool that is soft and not so hard, this one is way soft. It is actually watery and we call it ""mbiro"". That's my definition for diarrhoea. The people in my community call it ""mbiro""( running stomach) while others call it ""kidumusi"". I think it is caused by eating dirty things like uncovered food contaminated by houseflies or cockroaches, eating feaces, not washing hands after visiting the toilet or after touching dirty things before eating especially children. Children eat whatever they find and it doesn't matter if they have just been to the toilet or from playing. Those are some of the causes of diarrhoea. I advise the person to go to the health centre  for examination since malaria can also cause it. I also advise them to take ORS and other drinks like passion fruit juice. If they can't afford it, they can make it themselves by mixing two spoonfuls of sugar in a pinch of salt and they need to take it frequently. The spoon for measurements should be very small. Thank you."
Quality assurance,Communication and information - training,Supportive environment - greetings,Supportive environment - Religion,NA,NA,CHW,"Good morning VHTs. I greet you all in the name of our Lord Jesus Christ. As Luke, I let Annette know that I won't give her antibiotics because they could damage her ears. I advise her to keep them clean and to also get checked for any skin infections. That's how I explain to her. May be the issue of age too but we were told it's usually 60years and above not 50. I ensure she's satisfied with my explanation about the antibiotic drops being dangerous to her ears that seem normal before I leave her home. All white medicines have effects including panadol which may damage your liver if taken in over dose. On that note I ask her to be patient and visit the health centre for examination of any skin infections. Thank you so much."
Supportive environment,Communication and information - giving information,Supportive environment - moral support,Communication and information - acknowledgement,Communication and information - clarifying information,NA,CHW,"We have heard the Voice supervisor, sorry about that child's sickness, we have also lost Bennah in our area, we have finished the assessment, we are now with our Doctors making follow up on our patients. Let's pray for the patient, we also wish you well until we meet, am your grandson Matthew, have a nice day"
Quality assurance,Communication and information - training,NA,NA,NA,NA,Peer supervisor,I inform the mother that the disease can heal without treatment because I don't have the medicine for it as a VHT. The ear has no pus neither does it have a hole for me to dry mop or give antibiotics.
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"B.As VHTs, we should keep teaching people how to take good care of their ears because hearing aids are expensive and learning sign language requires money too. They should therefore take care of their ears and see doctors as soon as they discover they  have any problem with them."
Quality assurance,Communication and information - giving information,Communication and information - logistics and planning,NA,NA,NA,CHW,"Doctor the child had wounds on both ears with a hearing loss in the left ear. Her ear drum is normal, but it's only the outer part on both ears. She is coming with her  parents on Tuesday."
Communication and Information,Supportive Environment - Encouragement and praise,Supportive environment - greetings,Supportive Environment - thanks,NA,NA,Peer supervisor,"Good morning Oliver, thanks for the work you are doing, today I was requesting if you can go and join the group in Kirijja Butooke with Qiana and Jane, it will help you more because you will observe many things since many people are going to be there, I request you to go there today, you may ask Qiana or Jane for the details  about where they are going to be, you can use WhatsApp to contact them because I want you to be there."
Quality assurance,Communication and information - training,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,"What is the ""hole"" called Luke? There is a technical term to describe it which you should now be aware of . If you are not I advise you to refer to your booklet from the training day in January."
Supportive environment,Communication and information - training,Supportive environment - thanks,NA,NA,NA,Facilitator,"Qiana, you have not replied to the question correctly. So you observe again very well, but thanks for your time. "
Supportive environment,Communication and information - training,NA,NA,NA,NA,CHW,"As Gordon VHT Makata, I say what causes malaria is not sleeping under a mosquito net because mosquitoes transmit malaria. Another type of malaria is caused by drinking unboiled water. Unboiled water causes typhoid. The other type of malaria is celebral malaria which damages the person's brain. Those are the types of malaria I know. That's what I have to say."
Supportive environment,Communication and information - giving information,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,Well done Dorothy this is absolutely correct. Do all other VHTs agree? If you do you don't need to reply to the question as this is the correct answer.
Quality assurance,Communication and information - giving information,Communication and information - acknowledgement,NA,NA,NA,CHW,"I have got the information but I have a problem with my phone - it looses network. Even if the network comes, it is slow, the messages freeze. I don’t know what I can do with that problem. If you have had this I request you help me and update my internet as it gets lost. Last time it was out the whole day - morning to evening. I don't know if it is possible for you to come and help me. "
Quality assurance,Supportive environment - apology,Communication and information - logistics and planning,Supportive environment - moral support,NA,NA,Peer supervisor," Sorry Matthew about the pain in your leg, and reminding Francesca about Tendo, but am requesting you that if you have any problem about using the groups try to get some one who knows like Francesca, Byamukama and other people in the other groups, we work together and see how we can solve that problem."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW," Today's question about the pictures, I see an abnormal pinna and the bone behind the pinna is swollen. 2b) I see pus and a hole in the ear drum"
Quality assurance,Communication and information - training,Supportive environment - Thanks,NA,NA,NA,CHW," I give the child's mother antibiotic drops to give to the boy. I also ask her to dry his ear. In case of any pain, I give him pain killers. Thank you so much."
Supportive environment,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,Facilitator,Good morning VHTs. Here is todays question. How can you recommend community members to prevent malaria? Do you have any questions about malaria or this case which you are uncertain of and would like us to answer?
Communication and Information,Quality assurance - patient management,NA,NA,NA,NA,CHW,"Isabella I thought about that patient, but since you the one who knows the patient I thought they were going to come there for the washout, because now I don't know what to do. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,Hi Patricia - the information about this is in your handbook which you got at the training day in January. This Is called a 'post-auricular fistula'.
Supportive environment,Communication and information - training,NA,NA,NA,NA,Facilitator,"Hi VHTs, some signs of malnutrition include thin arms and legs, big belly, dry thin hair, poor skin, swollen feet, irritability, loss of appetite. "
Supportive environment,Communication and information - training,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,Thanks so much Patricia - you have explained very well the steps and you didn't leave anything. It would be good if you explained as you put it in practice. But thank you. 
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"After taking his history, checking his ears and finding no problem but fails the whispered test, it implies his condition is as a result of a middle ear infection. It means the bones of hearing have a problem. I cannot treat this patient but can only let him know he needs referral to a specialist for further examination. The specialist may tell him he needs either surgery or hearing aids. That's what I can do. Thanks."
Supportive environment,Communication and information - acknowledgement,NA,NA,NA,NA,Facilitator,Ok Patricia. 
Quality assurance,Communication and information - requesting information,Supportive environment - greetings,NA,NA,NA,CHW,"Greetings healthworker Bryan. Now, there was a patient here that was referred to Omni Med, she has ear pain and it is when water comes out from the ear, they came here and they said you were not at the organisation so we don’t know what to do. "
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"As Harriet, I think children from poor communities are prone to diseases because some people don't take certain issues seriously. They know even if they find out about them, there's nothing much they can do. If at all they fail to get salt and eat food without salt! That's why some get knives and commit suicide. Therefore, if something is not preventing one from eating or drinking, it's not an issue. That's why poor children are affected because of need."
Supportive environment,Communication and information - giving information,NA,NA,NA,NA,CHW,Another thing my fellow VHT the child am telling you about who got a problem with the leg is the one you see in my profile photo
Supportive environment,Communication and information - giving information,Supportive environment - apology,NA,NA,NA,CHW,Sorry Bryan. I made a mistake. I came back from the hospital - they told me to go back Monday.
Supportive environment,Communication and information - training,Supportive environment - Greetings,Supportive environment - encouragement and praise,NA,NA,CHW,"Greetings brothers and sisters. Well done! This is my answer to the question. The symptoms I can consider when assessing a child that looks malnourished like Enoch include the following. First of all they look sad and irritated. One can easily tell their bodies lack water, blood, fats, salt and calcium. Such children have very pale skin, swollen bellies, swollen cheeks, sunken eyes, thin hair and swollen legs. They also feel thirsty all the time since their bodies lack many nutrients. They feel weak and pain when one touches them. That's what I have to say."
Quality assurance,Communication and Information - Logistics and Planning,Supportive environment - moral support,Supportive environment - religion,Supportive environment - encouragement and praise,Supportive environment - greetings,Peer supervisor,"How has your day been VHTs? Thanks for the work you're doing. For those that are sick, may God heal you. And for those that have lost their loved ones, may God heal your broken hearts. Tomorrow is Sunday so I request you to follow up any patients you may be having. I say that because it's the most convenient day for that since most people are home all day. My plan is for us to finish up with the already seen patients and then we can embark on seeing new ones in order to attain the numbers we started with or more. Isabella my dear I have been told you're in pain but may God heal you. The rest of you, I wish you a good evening. Those who went for prayers today like Isabella, we thank God. And those who are supposed to go tomorrow, may God enable you to do so."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Why are children from poor communities prone to that disease? In the past, that disease wasn't taken seriously. Maybe those who have money knew about it. You see, even at our health centre there's no specialist to treat it. You find that a poor parent cannot take their child for examination because they don't have the ability."
Quality assurance,Communication and information - giving information,Quality assurance - patient management,Communication and information - logistics and planning,NA,NA,CHW,And now fellow VHTs I have reached Mrs. Xs place. But her ear is so bad. One is very very bad. The left one has pus doesn't look good. Tomorrow Andrew will see her when he goes for the home visit. 
Supportive environment,Communication and information - logistics and Planning,Supportive Environment - thanks,NA,NA,NA,Facilitator,I'll purchase xbeta on monday for him. Thanks for reminding us Edward.
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator, Correct for the first part Karl - giving them pain killer is a good idea. But if it settles by itself after a few days no need to refer to a specialist.
Supportive environment,Communication and information - giving information,Supportive Environment - thanks,Supportive environment - religion,Supportive environment - greetings,NA,CHW,"Nora, thank God the child is out of danger. Thanks for treating her and for the sympathy messages you have sent me. Thanks to other VHTs for your prayers much as I am not getting any better. I still haven't received proper treatment. When I went to see the doctor on Saturday, he told me it requires me to pay shs. 450,000 for examination so I am still looking for that money. I will ask Dr. Andrew tomorrow if he has any suggestions on what I can do about it. I am fade up of sitting without doing any work both personal and community work. Thanks so much and good night."
Communication and Information,Quality assurance - reprimand,NA,NA,NA,NA,Peer supervisor,Fellows we should control ourselves  because we are now in open. Let's have some privacy.
Supportive environment,Communication and information - training,Supportive environment - Thanks,Supportive environment - greetings,NA,NA,CHW,"Thank you all fellow VHTs for the work you're doing for the country. Thanks for attending the meeting today. This is my reply to the question. When I see that patient with a hearing loss, I refer him to a specialist and they give him a hearing aid. Have a good day."
Supportive environment,Communication and Information - Logistics and Planning,Communication and information - giving information,Supportive environment - greetings,Supportive environment - moral support,Supportive environment - religion,CHW," How was your day? Thank God who has enabled you to get to this day. Those having problems like Francesca and Nora, sorry but God will help you out. I have received a message from Qiana asking me to let you know that she has lost an in-law and burial is tomorrow at 4pm at Buteweta. The reason why she's told me to do it is because her phone is dead. I therefore request those who will be able to go and be there for Qiana so we can strengthen her. I wish you a good night."
Supportive environment,Communication and information - giving information,Supportive environment - thanks,NA,NA,NA,CHW,Well done Miss Catherine. We have understood the questions but most of the VHTs are now in the garden planting because it rained. We have understood the questions and we shall reply. Thanks so much.
Supportive environment,Communication and information - giving information,Communication and information - training,Supportive environment - greetings,Supportive environment - thanks,NA,CHW, I greet you all fellow VHTs. I am called Patricia and thanks for the work you're doing.I was unable to answer yesterday's question because I saw them late and my phone's battery was down. The treatment I would give to the mother for the child are anti bacteria drops.
Quality assurance,Communication and information - logistics and planning,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,VHTs please watch the videos - it shows you show to check for malnutrition using a MUAC tape :)
Supportive environment,Communication and information - clarifying information,NA,NA,NA,NA,CHW,"Thank you for clarifying, you have done well, the first thing Luke said about the Master of ceremony was wrong, that person will be chosen by Andrew, for us we shall chose a spokesperson to give a speech , we shall select one person among the VHTs, so most of you got it wrong, I know English is not easy not easy so most of you didn't get it well, but that's how I understood it. Thank you!"
Supportive environment,Communication and information - giving information,Supportive environment - encouragement and praise,Communication and information - clarifying information,Quality assurance - reprimand,NA,Peer supervisor,"VHTs who didn't come to the meeting today we didn't understand the reason you were not here. We were in Makata at the born again church. The patients were many. We were there with a lot of people. I am Karl, Francesca, Harriet, Edward, Gordon, we all were here. I thank you for sacrificing your time. Thanks so much. "
Quality assurance,Communication and information - requesting information,Communication and information - making a request,NA,NA,NA,Peer supervisor,We are not understanding what you are saying. What do you see after examining her? Please examine her again and see exactly what is in her ear. 
Quality assurance,Communication and information - training,NA,NA,NA,NA,Peer supervisor,I see the ear drum is reddish and has pus.
Communication and Information,Quality assurance - consent taking,NA,NA,NA,NA,Facilitator,Remember ... Each time you recruit a new house hold get written consent. We will be providing you with two forms which need to be signed by your houses the first time you visit them. One is in English the other is in Luganda. Once the head of house has signed the consent form once they don't need to sign it again over the next 6 months
Communication and Information,Supportive environment - moral support,Supportive environment - encouragement and praise,NA,NA,NA,CHW,"VHTs on the side of where Qiana is please go to help her. Also Qiana should also look for the VHTs around her to help her how to respond to the questions because it doesn't take long for someone to learn, am not saying it in a bad way, but as VHTs of Kirijja Butooke, you have to work together in pairs so as you go on home visits and train her so that she can learn."
Supportive environment,Communication and information - giving information,Supportive environment - encouragement and praise,NA,NA,NA,Peer supervisor,"Well done my fellow VHTs. I want to direct you how we get videos - you tap in messages, then click down - you see the word play. On that circle - when you click it - the video will start.  "
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,The treatment or what I can do for Mr. Jamil after explaining to him the causes of hearing loss is to go and learn sign language. I also refer him to a specialist to continue helping him because his condition is beyond me. That's my advice.
Quality assurance,Communication and information - training,Supportive environment - thanks,NA,NA,NA,CHW,"Causes of diarrhoea include stomach upset depending on what someone may have eaten. Secondly that child may have eaten dirty stuff. Thirdly, it could be from typhoid which causes stomachache and diarrhoea but it mainly depends on the stuff one may have eaten and affected the digestive system. Thank you so much."
Quality assurance,Communication and information - training,Supportive environment - thanks,NA,NA,NA,Facilitator,"Thank you the causes of hearing loss are: Medications (e.g. certain antibiotics cause hearing loss if the dose is too high like gentamycin), loud noises, old age (prebycusis), infections (measles and mumps) are some of the causes of hearing loss. "
Supportive environment,Communication and information - training,Supportive environment - thanks,NA,NA,NA,Facilitator,Thank you very much all of you who have replied. You replied well but just that you were only meant to complete the first part. 
Supportive environment,Communication and information - training,NA,NA,NA,NA,CHW,I refer Enoch to the doctor because that means he is very sick
Supportive environment,Communication and information - training,Supportive environment - thanks,NA,NA,NA,Facilitator,"Thank you Karl, You were supposed to stop on the date. "
Supportive environment,Communication and information - giving opinion,NA,NA,NA,NA,CHW,"Catherine, yesterday you told us you were going to ask one question so I thought since yesterday today you were just going to ask about one section. "
Quality assurance,Communication and information - making a request,NA,NA,NA,NA,Peer supervisor,Reply to them so we see where we stand. 
Communication and Information,Supportive environment - apology,Supportive environment - greetings,Communication and information - logistics and planning,NA,NA,Facilitator,"Hi How are you VHTs, we have to meet you today at 2pm, we might be together for 30 minutes. Sorry we had some problems - we are a bit late but we will come. "
Supportive environment,Communication and information - logistics and planning,Supportive environment - Greetings,Supportive environment - thanks,NA,NA,Facilitator,"The other questions answers you wil receive tomorrow. Please, thanks so much for asking and have a good night. "
Quality assurance,Communication and Information - Logistics and Planning,Communication and information - clarifying information,NA,NA,NA,Facilitator,The ones you remove from the books?
Supportive environment,Communication and information - requesting information,Supportive environment - thanks,NA,NA,NA,CHW,"Isabella thanks for the condolance messages. Whome should I give the condolences to, where is the burial. "
Quality assurance,Supportive Environment - Thanks,NA,NA,NA,NA,Peer supervisor,Mr Andrew thanks for your concern about the patients.
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,Peer supervisor,"Greetings fellow health workers. After seeing that Enoch's tape reading is red, I inform the mother that he needs referral immediately because his situation is worrying. For the sister, I also refer her for further examination to identify the cause of the swelling because it is caused by a lot of conditions. That's how I can advise her."
Quality assurance,Communication and information - training,Supportive environment - Greetings,NA,NA,NA,CHW,"I will begin with the last question then answer the rest afterwards. Greetings to you all. If ENT specialists say that hearing aids are expensive, what I would do as a VHT is to counsel them. I would also politely advise them to go to schools that teach sign language. From there they can a lot of things. I know those people can even be more intelligent than us who are able to hear and speak properly."
Quality assurance,Communication and information - training,NA,NA,NA,NA,Peer supervisor,The tablets I know they give to children with diarrhoea are called zinc.
Quality assurance,Communication and information - training,NA,NA,NA,NA,Facilitator,New bit of information from Simon and Teresa. If a patient has a lot of wax but no symptoms -- no treatment needed If a patient has a lot of wax but has symptoms e.g. ringing in ears or pain then they need Olive oil drops 3 times a day for 5 days then washout and dry mopping
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW,"Todays question of the patient who had wax yesterday - I apply olive oil drops, 3 drops, 3 times a day, 5 days. Then after the 5 days I wash out with 9mls of H20 and 1 ml of iodine. I then dry mop those ears. If I do all that and the wax remains I put oil in the ears again and then wash out again after 5 days. If it remains again I refer the patient to a specialist. But the advice I give to that patient is not to insert sticks in to their ears - becuase this can affect the ear canal and ear drum. I also tell them that incase they get problems with their ears they should not self medicate. But they should see a health worker. "
Quality assurance,Communication and information - logistics and planning,NA,NA,NA,NA,CHW,"Harriet tomorrow I would like us to go to Dans place, remember last time we made the report but we did not treat them. But make the report and tomorrow we go treat them. You come because Karl made an appointment with him but he didn't go. Go and we can find out their problem. "
Quality assurance,Communication and information - training,Communication and information - giving information,Supportive environment - thanks,Supportive environment - greetings,NA,CHW,"Thanks for all the work you're doing this weekend fellow health workers. I wasn't around because I had gone for burial at Ssi but this is my answer to the question. The symptoms of malaria include vomiting and high temperature. The causes include drinking unboiled water which may have been got from ponds where mosquitoes breed from, poor sanitation, using dirty plates to eat food and eating uncovered food contaminated by houseflies and cockroaches. That's what I have to say. Have a good weekend. It's me Qiana Kigwana."
Supportive environment,Quality assurance - patient management,Supportive Environment - thanks,Supportive environment - greetings,NA,NA,Facilitator, Hi VHTs! Thanks for your efforts. Gordon I saw your man today. I have removed the ear wax from his ear.
Supportive environment,Communication and information - training,Supportive environment - Greetings,Supportive environment - thanks,NA,NA,CHW,"Greetings fellow VHTs and thanks for today's work. This is my reply to today's question about the three year old child called Joyce. When I look in the ear with my otoscope, I see a swollen ear drum."
Supportive environment,Quality assurance - record keeping,NA,NA,NA,NA,Facilitator,Again all of the sections are blank 
Supportive environment,Communication and information - giving information,Supportive environment - moral support,Communication and information - making a request,Supportive environment - greetings,Supportive environment - thanks,Peer supervisor,"Greetings ladies and gentleman, thanks for the work you are doing, I take this opportunity to inform you that one of our fellow VHTs Jane lost her sister, burial is today in Namina at 4pm as I heard, I inform our leaders, Andrew, Catherine and Bryan and our members we work with that our fellow has lost a relative. Whoever will manage to give the condolences, let's get a way of collecting them and also going to attend for the burial those who were told  be met today I request you to be there on time another thing, those who are not meeting Andrew today, I request let us go and attend the burial of our friend, let's be together. Thank you so much."
Quality assurance,Communication and information - training,NA,NA,NA,NA,CHW," I write the history in the other big book that was given to us. I write down my names, head of household who signed the consent form and the names of the patient, their village plus everything concerning their ears. For example they told me they feel some pain, so I ask how long they've had it. After that, I ask them if they have any other disease besides ears. When I'm done with that, I embark on examination for the second time since I would have finished the wash out and given them some pain killers. I then check their hearing using the whispered voice hearing test. After that I give them a copy of the form to confirm that I have successfully treated them and then I take the pink one to the health centre. As for the white one, I write in it like Dorothy told us i.e the phone number of the patient and where they stay to help me remember."
Quality assurance,Communication and information - giving information,NA,NA,NA,NA,CHW,"I still feel pain, am trying to step down slowly I don't know whether tomorrow I will get treatment because am going back to see a specialist"
Quality assurance,Communication and information - training,Supportive environment - greetings,Supportive environment - encouragement and praise,NA,NA,CHW,"Greetings my fellow VHTs from Seeta Nazigo, Makata and those from Kavule. Well done! If I confirm the patient has cholesteatoma, I cannot treat them. I wash their ears and once I'm done, I refer them to an ENT specialist."
Quality assurance,Communication and Information - clarifying information,Supportive environment - greetings,Supportive environment - encouragement and praise,NA,NA,CHW, Greetings Mr. Edward and well done! You're asking about the announcement Mr. Matthew just talked about but I think he takes long to check his phone. Bryan made that announcement longtime ago on 16th and it has already passed. I think when he checked he didn't realize it was made awhile ago and the patients were seen already at seeta Nazigo health centre. Seeing it today he might have thought it's current. Thanks.
Supportive environment,Communication and Information - Logistics and Planning,NA,NA,NA,NA,CHW,We are hee in the road waiting for him with Gordon
Quality assurance,Communication and information - clarifying information,NA,NA,NA,NA,Peer supervisor,"If you didn't see the messages, the doctor said he is not going to be around for about 10 days, he said if we need anything for example consent forms,  ear drops or any questions we have to get in touch with Catherine and Bryan at Omni med, even when we get patients who need assessment should be brought at the organisation so that Catherine and Bryan can assess them."
Quality assurance,Communication and information - training,Supportive environment - encouragement and praise,NA,NA,NA,Facilitator,"Luke if the ear canal has wax, don't tick the box indicating it is normal. You haven't ticked the box of the right ear after testing, even then you haven't shown us whether the ear is normal or abnormal and where the problem is. The rest you have done well. "
